Dataset Size: 2162                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             58.196721                 244.000000           142.000000     
1.000000             4.918033                  244.000000           12.000000      
1.000000             3.688525                  244.000000           9.000000       
1.000000             3.278689                  244.000000           8.000000       
1.000000             3.278689                  244.000000           8.000000       
1.000000             2.868852                  244.000000           7.000000       
1.000000             2.868852                  244.000000           7.000000       
1.000000             2.868852                  244.000000           7.000000       
1.000000             2.049180                  244.000000           5.000000       
1.000000             2.049180                  244.000000           5.000000       
1.000000             1.639344                  244.000000           4.000000       
1.000000             1.229508                  244.000000           3.000000       
1.000000             1.229508                  244.000000           3.000000       
1.000000             0.819672                  244.000000           2.000000       
1.000000             0.819672                  244.000000           2.000000       
1.000000             0.819672                  244.000000           2.000000       
1.000000             0.819672                  244.000000           2.000000       
1.000000             0.819672                  244.000000           2.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
1.000000             0.409836                  244.000000           1.000000       
2.000000             55.000000                 100.000000           55.000000      
2.000000             12.000000                 100.000000           12.000000      
2.000000             9.000000                  100.000000           9.000000       
2.000000             7.000000                  100.000000           7.000000       
2.000000             5.000000                  100.000000           5.000000       
2.000000             4.000000                  100.000000           4.000000       
2.000000             3.000000                  100.000000           3.000000       
2.000000             2.000000                  100.000000           2.000000       
2.000000             2.000000                  100.000000           2.000000       
2.000000             1.000000                  100.000000           1.000000       
3.000000             49.532710                 107.000000           53.000000      
3.000000             14.953271                 107.000000           16.000000      
3.000000             11.214953                 107.000000           12.000000      
3.000000             5.607477                  107.000000           6.000000       
3.000000             3.738318                  107.000000           4.000000       
3.000000             2.803738                  107.000000           3.000000       
3.000000             1.869159                  107.000000           2.000000       
3.000000             1.869159                  107.000000           2.000000       
3.000000             1.869159                  107.000000           2.000000       
3.000000             0.934579                  107.000000           1.000000       
3.000000             0.934579                  107.000000           1.000000       
3.000000             0.934579                  107.000000           1.000000       
3.000000             0.934579                  107.000000           1.000000       
3.000000             0.934579                  107.000000           1.000000       
3.000000             0.934579                  107.000000           1.000000       
3.000000             0.934579                  107.000000           1.000000       
4.000000             53.846154                 91.000000            49.000000      
4.000000             14.285714                 91.000000            13.000000      
4.000000             12.087912                 91.000000            11.000000      
4.000000             5.494505                  91.000000            5.000000       
4.000000             3.296703                  91.000000            3.000000       
4.000000             2.197802                  91.000000            2.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
4.000000             1.098901                  91.000000            1.000000       
5.000000             53.488372                 86.000000            46.000000      
5.000000             17.441860                 86.000000            15.000000      
5.000000             8.139535                  86.000000            7.000000       
5.000000             8.139535                  86.000000            7.000000       
5.000000             4.651163                  86.000000            4.000000       
5.000000             2.325581                  86.000000            2.000000       
5.000000             2.325581                  86.000000            2.000000       
5.000000             1.162791                  86.000000            1.000000       
5.000000             1.162791                  86.000000            1.000000       
5.000000             1.162791                  86.000000            1.000000       
6.000000             53.333333                 75.000000            40.000000      
6.000000             20.000000                 75.000000            15.000000      
6.000000             13.333333                 75.000000            10.000000      
6.000000             5.333333                  75.000000            4.000000       
6.000000             1.333333                  75.000000            1.000000       
6.000000             1.333333                  75.000000            1.000000       
6.000000             1.333333                  75.000000            1.000000       
6.000000             1.333333                  75.000000            1.000000       
6.000000             1.333333                  75.000000            1.000000       
6.000000             1.333333                  75.000000            1.000000       
7.000000             53.061224                 49.000000            26.000000      
7.000000             16.326531                 49.000000            8.000000       
7.000000             10.204082                 49.000000            5.000000       
7.000000             6.122449                  49.000000            3.000000       
7.000000             2.040816                  49.000000            1.000000       
7.000000             2.040816                  49.000000            1.000000       
7.000000             2.040816                  49.000000            1.000000       
7.000000             2.040816                  49.000000            1.000000       
7.000000             2.040816                  49.000000            1.000000       
7.000000             2.040816                  49.000000            1.000000       
7.000000             2.040816                  49.000000            1.000000       
8.000000             37.681159                 69.000000            26.000000      
8.000000             18.840580                 69.000000            13.000000      
8.000000             13.043478                 69.000000            9.000000       
8.000000             13.043478                 69.000000            9.000000       
8.000000             8.695652                  69.000000            6.000000       
8.000000             2.898551                  69.000000            2.000000       
8.000000             2.898551                  69.000000            2.000000       
