Dataset Size: 2495                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             20.338983                 118.000000           24.000000      
1.000000             6.779661                  118.000000           8.000000       
1.000000             5.084746                  118.000000           6.000000       
1.000000             5.084746                  118.000000           6.000000       
1.000000             5.084746                  118.000000           6.000000       
1.000000             3.389831                  118.000000           4.000000       
1.000000             3.389831                  118.000000           4.000000       
1.000000             3.389831                  118.000000           4.000000       
1.000000             3.389831                  118.000000           4.000000       
1.000000             3.389831                  118.000000           4.000000       
1.000000             3.389831                  118.000000           4.000000       
1.000000             2.542373                  118.000000           3.000000       
1.000000             2.542373                  118.000000           3.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             1.694915                  118.000000           2.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
1.000000             0.847458                  118.000000           1.000000       
2.000000             26.373626                 91.000000            24.000000      
2.000000             13.186813                 91.000000            12.000000      
2.000000             7.692308                  91.000000            7.000000       
2.000000             5.494505                  91.000000            5.000000       
2.000000             5.494505                  91.000000            5.000000       
2.000000             4.395604                  91.000000            4.000000       
2.000000             3.296703                  91.000000            3.000000       
2.000000             3.296703                  91.000000            3.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             2.197802                  91.000000            2.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
2.000000             1.098901                  91.000000            1.000000       
3.000000             19.166667                 120.000000           23.000000      
3.000000             10.000000                 120.000000           12.000000      
3.000000             6.666667                  120.000000           8.000000       
3.000000             4.166667                  120.000000           5.000000       
3.000000             4.166667                  120.000000           5.000000       
3.000000             4.166667                  120.000000           5.000000       
3.000000             3.333333                  120.000000           4.000000       
3.000000             3.333333                  120.000000           4.000000       
3.000000             3.333333                  120.000000           4.000000       
3.000000             2.500000                  120.000000           3.000000       
3.000000             2.500000                  120.000000           3.000000       
3.000000             2.500000                  120.000000           3.000000       
3.000000             2.500000                  120.000000           3.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             1.666667                  120.000000           2.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
3.000000             0.833333                  120.000000           1.000000       
4.000000             23.684211                 76.000000            18.000000      
4.000000             18.421053                 76.000000            14.000000      
4.000000             6.578947                  76.000000            5.000000       
4.000000             5.263158                  76.000000            4.000000       
4.000000             5.263158                  76.000000            4.000000       
4.000000             3.947368                  76.000000            3.000000       
4.000000             2.631579                  76.000000            2.000000       
4.000000             2.631579                  76.000000            2.000000       
4.000000             2.631579                  76.000000            2.000000       
4.000000             2.631579                  76.000000            2.000000       
4.000000             2.631579                  76.000000            2.000000       
4.000000             2.631579                  76.000000            2.000000       
4.000000             1.315789                  76.000000            1.000000       
4.000000             1.315789                  76.000000            1.000000       
4.000000             1.315789                  76.000000            1.000000       
