Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             95.448954                 813.000000           776.000000     
1.000000             1.107011                  813.000000           9.000000       
1.000000             1.107011                  813.000000           9.000000       
1.000000             0.738007                  813.000000           6.000000       
1.000000             0.369004                  813.000000           3.000000       
1.000000             0.246002                  813.000000           2.000000       
1.000000             0.246002                  813.000000           2.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
2.000000             81.950673                 892.000000           731.000000     
2.000000             10.986547                 892.000000           98.000000      
2.000000             2.130045                  892.000000           19.000000      
2.000000             1.569507                  892.000000           14.000000      
2.000000             1.345291                  892.000000           12.000000      
2.000000             1.121076                  892.000000           10.000000      
2.000000             0.784753                  892.000000           7.000000       
2.000000             0.112108                  892.000000           1.000000       
3.000000             50.662252                 302.000000           153.000000     
3.000000             31.456954                 302.000000           95.000000      
3.000000             10.927152                 302.000000           33.000000      
3.000000             6.953642                  302.000000           21.000000      
4.000000             91.666667                 156.000000           143.000000     
4.000000             3.205128                  156.000000           5.000000       
4.000000             1.923077                  156.000000           3.000000       
4.000000             1.923077                  156.000000           3.000000       
4.000000             1.282051                  156.000000           2.000000       
5.000000             24.623116                 199.000000           49.000000      
5.000000             6.532663                  199.000000           13.000000      
5.000000             5.025126                  199.000000           10.000000      
5.000000             5.025126                  199.000000           10.000000      
5.000000             4.522613                  199.000000           9.000000       
5.000000             4.020101                  199.000000           8.000000       
5.000000             4.020101                  199.000000           8.000000       
5.000000             3.517588                  199.000000           7.000000       
5.000000             3.517588                  199.000000           7.000000       
5.000000             3.015075                  199.000000           6.000000       
5.000000             3.015075                  199.000000           6.000000       
5.000000             3.015075                  199.000000           6.000000       
5.000000             2.512563                  199.000000           5.000000       
5.000000             2.512563                  199.000000           5.000000       
5.000000             2.010050                  199.000000           4.000000       
5.000000             1.507538                  199.000000           3.000000       
5.000000             1.507538                  199.000000           3.000000       
5.000000             1.507538                  199.000000           3.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             1.005025                  199.000000           2.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
5.000000             0.502513                  199.000000           1.000000       
6.000000             34.848485                 132.000000           46.000000      
6.000000             11.363636                 132.000000           15.000000      
6.000000             6.060606                  132.000000           8.000000       
6.000000             5.303030                  132.000000           7.000000       
6.000000             3.787879                  132.000000           5.000000       
6.000000             3.787879                  132.000000           5.000000       
6.000000             3.030303                  132.000000           4.000000       
6.000000             3.030303                  132.000000           4.000000       
6.000000             3.030303                  132.000000           4.000000       
6.000000             3.030303                  132.000000           4.000000       
6.000000             2.272727                  132.000000           3.000000       
6.000000             2.272727                  132.000000           3.000000       
6.000000             2.272727                  132.000000           3.000000       
6.000000             2.272727                  132.000000           3.000000       
6.000000             2.272727                  132.000000           3.000000       
6.000000             2.272727                  132.000000           3.000000       
6.000000             1.515152                  132.000000           2.000000       
6.000000             1.515152                  132.000000           2.000000       
6.000000             1.515152                  132.000000           2.000000       
6.000000             1.515152                  132.000000           2.000000       
6.000000             0.757576                  132.000000           1.000000       
6.000000             0.757576                  132.000000           1.000000       
6.000000             0.757576                  132.000000           1.000000       
6.000000             0.757576                  132.000000           1.000000       
7.000000             56.000000                 75.000000            42.000000      
7.000000             22.666667                 75.000000            17.000000      
7.000000             16.000000                 75.000000            12.000000      
7.000000             5.333333                  75.000000            4.000000       
8.000000             46.153846                 39.000000            18.000000      
8.000000             25.641026                 39.000000            10.000000      
8.000000             23.076923                 39.000000            9.000000       
8.000000             5.128205                  39.000000            2.000000       
9.000000             36.956522                 46.000000            17.000000      
9.000000             30.434783                 46.000000            14.000000      
9.000000             23.913043                 46.000000            11.000000      
9.000000             8.695652                  46.000000            4.000000       
10.000000            27.586207                 58.000000            16.000000      
10.000000            10.344828                 58.000000            6.000000       
10.000000            6.896552                  58.000000            4.000000       
10.000000            6.896552                  58.000000            4.000000       
10.000000            5.172414                  58.000000            3.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            3.448276                  58.000000            2.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
10.000000            1.724138                  58.000000            1.000000       
11.000000            18.750000                 64.000000            12.000000      
11.000000            12.500000                 64.000000            8.000000       
11.000000            10.937500                 64.000000            7.000000       
11.000000            7.812500                  64.000000            5.000000       
11.000000            7.812500                  64.000000            5.000000       
11.000000            6.250000                  64.000000            4.000000       
11.000000            6.250000                  64.000000            4.000000       
11.000000            4.687500                  64.000000            3.000000       
11.000000            4.687500                  64.000000            3.000000       
11.000000            3.125000                  64.000000            2.000000       
11.000000            3.125000                  64.000000            2.000000       
11.000000            3.125000                  64.000000            2.000000       
11.000000            1.562500                  64.000000            1.000000       
11.000000            1.562500                  64.000000            1.000000       
11.000000            1.562500                  64.000000            1.000000       
11.000000            1.562500                  64.000000            1.000000       
11.000000            1.562500                  64.000000            1.000000       
11.000000            1.562500                  64.000000            1.000000       
11.000000            1.562500                  64.000000            1.000000       
12.000000            91.666667                 12.000000            11.000000      
12.000000            8.333333                  12.000000            1.000000       
13.000000            91.666667                 12.000000            11.000000      
13.000000            8.333333                  12.000000            1.000000       
14.000000            91.666667                 12.000000            11.000000      
14.000000            8.333333                  12.000000            1.000000       
15.000000            91.666667                 12.000000            11.000000      
15.000000            8.333333                  12.000000            1.000000       
16.000000            91.666667                 12.000000            11.000000      
16.000000            8.333333                  12.000000            1.000000       
17.000000            91.666667                 12.000000            11.000000      
17.000000            8.333333                  12.000000            1.000000       
18.000000            28.205128                 39.000000            11.000000      
18.000000            15.384615                 39.000000            6.000000       
18.000000            7.692308                  39.000000            3.000000       
18.000000            5.128205                  39.000000            2.000000       
18.000000            5.128205                  39.000000            2.000000       
18.000000            5.128205                  39.000000            2.000000       
18.000000            5.128205                  39.000000            2.000000       
18.000000            5.128205                  39.000000            2.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
18.000000            2.564103                  39.000000            1.000000       
19.000000            91.666667                 12.000000            11.000000      
19.000000            8.333333                  12.000000            1.000000       
20.000000            91.666667                 12.000000            11.000000      
20.000000            8.333333                  12.000000            1.000000       
21.000000            91.666667                 12.000000            11.000000      
21.000000            8.333333                  12.000000            1.000000       
22.000000            91.666667                 12.000000            11.000000      
22.000000            8.333333                  12.000000            1.000000       
23.000000            91.666667                 12.000000            11.000000      
23.000000            8.333333                  12.000000            1.000000       
24.000000            91.666667                 12.000000            11.000000      
24.000000            8.333333                  12.000000            1.000000       
25.000000            91.666667                 12.000000            11.000000      
25.000000            8.333333                  12.000000            1.000000       
26.000000            91.666667                 12.000000            11.000000      
26.000000            8.333333                  12.000000            1.000000       
27.000000            91.666667                 12.000000            11.000000      
27.000000            8.333333                  12.000000            1.000000       
28.000000            91.666667                 12.000000            11.000000      
28.000000            8.333333                  12.000000            1.000000       
29.000000            91.666667                 12.000000            11.000000      
29.000000            8.333333                  12.000000            1.000000       
30.000000            91.666667                 12.000000            11.000000      
30.000000            8.333333                  12.000000            1.000000       
31.000000            91.666667                 12.000000            11.000000      
31.000000            8.333333                  12.000000            1.000000       
32.000000            91.666667                 12.000000            11.000000      
