Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             40.674157                 445.000000           181.000000     
1.000000             24.494382                 445.000000           109.000000     
1.000000             4.943820                  445.000000           22.000000      
1.000000             4.719101                  445.000000           21.000000      
1.000000             3.146067                  445.000000           14.000000      
1.000000             2.471910                  445.000000           11.000000      
1.000000             2.247191                  445.000000           10.000000      
1.000000             2.022472                  445.000000           9.000000       
1.000000             2.022472                  445.000000           9.000000       
1.000000             2.022472                  445.000000           9.000000       
1.000000             2.022472                  445.000000           9.000000       
1.000000             2.022472                  445.000000           9.000000       
1.000000             1.573034                  445.000000           7.000000       
1.000000             1.348315                  445.000000           6.000000       
1.000000             1.123596                  445.000000           5.000000       
1.000000             0.898876                  445.000000           4.000000       
1.000000             0.674157                  445.000000           3.000000       
1.000000             0.674157                  445.000000           3.000000       
1.000000             0.224719                  445.000000           1.000000       
1.000000             0.224719                  445.000000           1.000000       
1.000000             0.224719                  445.000000           1.000000       
1.000000             0.224719                  445.000000           1.000000       
2.000000             31.382979                 564.000000           177.000000     
2.000000             20.035461                 564.000000           113.000000     
2.000000             8.687943                  564.000000           49.000000      
2.000000             8.333333                  564.000000           47.000000      
2.000000             5.673759                  564.000000           32.000000      
2.000000             3.723404                  564.000000           21.000000      
2.000000             3.546099                  564.000000           20.000000      
2.000000             2.836879                  564.000000           16.000000      
2.000000             2.304965                  564.000000           13.000000      
2.000000             1.950355                  564.000000           11.000000      
2.000000             1.950355                  564.000000           11.000000      
2.000000             1.773050                  564.000000           10.000000      
2.000000             1.595745                  564.000000           9.000000       
2.000000             1.418440                  564.000000           8.000000       
2.000000             0.886525                  564.000000           5.000000       
2.000000             0.886525                  564.000000           5.000000       
2.000000             0.709220                  564.000000           4.000000       
2.000000             0.531915                  564.000000           3.000000       
2.000000             0.354610                  564.000000           2.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
2.000000             0.177305                  564.000000           1.000000       
3.000000             46.889952                 209.000000           98.000000      
3.000000             27.751196                 209.000000           58.000000      
3.000000             12.918660                 209.000000           27.000000      
3.000000             5.263158                  209.000000           11.000000      
3.000000             3.827751                  209.000000           8.000000       
3.000000             1.435407                  209.000000           3.000000       
3.000000             0.956938                  209.000000           2.000000       
3.000000             0.956938                  209.000000           2.000000       
4.000000             38.410596                 151.000000           58.000000      
4.000000             23.178808                 151.000000           35.000000      
4.000000             12.582781                 151.000000           19.000000      
4.000000             7.284768                  151.000000           11.000000      
4.000000             5.960265                  151.000000           9.000000       
4.000000             3.973510                  151.000000           6.000000       
4.000000             3.311258                  151.000000           5.000000       
4.000000             3.311258                  151.000000           5.000000       
4.000000             1.324503                  151.000000           2.000000       
4.000000             0.662252                  151.000000           1.000000       
5.000000             33.774834                 151.000000           51.000000      
5.000000             28.476821                 151.000000           43.000000      
5.000000             11.920530                 151.000000           18.000000      
5.000000             8.609272                  151.000000           13.000000      
5.000000             6.622517                  151.000000           10.000000      
5.000000             5.960265                  151.000000           9.000000       
5.000000             4.635762                  151.000000           7.000000       
6.000000             35.042735                 117.000000           41.000000      
6.000000             29.914530                 117.000000           35.000000      
6.000000             12.820513                 117.000000           15.000000      
6.000000             11.111111                 117.000000           13.000000      
6.000000             8.547009                  117.000000           10.000000      
6.000000             1.709402                  117.000000           2.000000       
6.000000             0.854701                  117.000000           1.000000       
7.000000             36.923077                 65.000000            24.000000      
7.000000             18.461538                 65.000000            12.000000      
7.000000             16.923077                 65.000000            11.000000      
7.000000             15.384615                 65.000000            10.000000      
7.000000             7.692308                  65.000000            5.000000       
7.000000             4.615385                  65.000000            3.000000       
8.000000             46.666667                 45.000000            21.000000      
8.000000             17.777778                 45.000000            8.000000       
8.000000             13.333333                 45.000000            6.000000       
8.000000             8.888889                  45.000000            4.000000       
8.000000             6.666667                  45.000000            3.000000       
8.000000             2.222222                  45.000000            1.000000       
8.000000             2.222222                  45.000000            1.000000       
8.000000             2.222222                  45.000000            1.000000       
9.000000             30.000000                 70.000000            21.000000      
9.000000             14.285714                 70.000000            10.000000      
9.000000             12.857143                 70.000000            9.000000       
9.000000             8.571429                  70.000000            6.000000       
9.000000             8.571429                  70.000000            6.000000       
9.000000             7.142857                  70.000000            5.000000       
9.000000             7.142857                  70.000000            5.000000       
9.000000             5.714286                  70.000000            4.000000       
9.000000             4.285714                  70.000000            3.000000       
9.000000             1.428571                  70.000000            1.000000       
10.000000            44.680851                 47.000000            21.000000      
10.000000            25.531915                 47.000000            12.000000      
10.000000            12.765957                 47.000000            6.000000       
10.000000            10.638298                 47.000000            5.000000       
10.000000            2.127660                  47.000000            1.000000       
10.000000            2.127660                  47.000000            1.000000       
10.000000            2.127660                  47.000000            1.000000       
11.000000            30.303030                 66.000000            20.000000      
11.000000            28.787879                 66.000000            19.000000      
11.000000            21.212121                 66.000000            14.000000      
11.000000            13.636364                 66.000000            9.000000       
11.000000            4.545455                  66.000000            3.000000       
11.000000            1.515152                  66.000000            1.000000       
12.000000            34.615385                 52.000000            18.000000      
12.000000            21.153846                 52.000000            11.000000      
12.000000            21.153846                 52.000000            11.000000      
12.000000            15.384615                 52.000000            8.000000       
12.000000            7.692308                  52.000000            4.000000       
13.000000            35.714286                 42.000000            15.000000      
13.000000            26.190476                 42.000000            11.000000      
13.000000            11.904762                 42.000000            5.000000       
13.000000            9.523810                  42.000000            4.000000       
13.000000            9.523810                  42.000000            4.000000       
13.000000            7.142857                  42.000000            3.000000       
14.000000            11.711712                 111.000000           13.000000      
14.000000            7.207207                  111.000000           8.000000       
14.000000            3.603604                  111.000000           4.000000       
14.000000            3.603604                  111.000000           4.000000       
14.000000            2.702703                  111.000000           3.000000       
14.000000            2.702703                  111.000000           3.000000       
14.000000            2.702703                  111.000000           3.000000       
14.000000            2.702703                  111.000000           3.000000       
