Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             87.788407                 1777.000000          1560.000000    
1.000000             4.501970                  1777.000000          80.000000      
1.000000             1.913337                  1777.000000          34.000000      
1.000000             1.688239                  1777.000000          30.000000      
1.000000             0.900394                  1777.000000          16.000000      
1.000000             0.844119                  1777.000000          15.000000      
1.000000             0.787845                  1777.000000          14.000000      
1.000000             0.619021                  1777.000000          11.000000      
1.000000             0.225098                  1777.000000          4.000000       
1.000000             0.168824                  1777.000000          3.000000       
1.000000             0.168824                  1777.000000          3.000000       
1.000000             0.056275                  1777.000000          1.000000       
1.000000             0.056275                  1777.000000          1.000000       
1.000000             0.056275                  1777.000000          1.000000       
1.000000             0.056275                  1777.000000          1.000000       
1.000000             0.056275                  1777.000000          1.000000       
1.000000             0.056275                  1777.000000          1.000000       
1.000000             0.056275                  1777.000000          1.000000       
2.000000             71.304348                 115.000000           82.000000      
2.000000             7.826087                  115.000000           9.000000       
2.000000             6.956522                  115.000000           8.000000       
2.000000             5.217391                  115.000000           6.000000       
2.000000             4.347826                  115.000000           5.000000       
2.000000             3.478261                  115.000000           4.000000       
2.000000             0.869565                  115.000000           1.000000       
3.000000             63.793103                 116.000000           74.000000      
3.000000             24.137931                 116.000000           28.000000      
3.000000             5.172414                  116.000000           6.000000       
3.000000             4.310345                  116.000000           5.000000       
3.000000             1.724138                  116.000000           2.000000       
3.000000             0.862069                  116.000000           1.000000       
4.000000             56.410256                 78.000000            44.000000      
4.000000             20.512821                 78.000000            16.000000      
4.000000             17.948718                 78.000000            14.000000      
4.000000             5.128205                  78.000000            4.000000       
5.000000             24.087591                 137.000000           33.000000      
5.000000             12.408759                 137.000000           17.000000      
5.000000             5.839416                  137.000000           8.000000       
5.000000             5.109489                  137.000000           7.000000       
5.000000             4.379562                  137.000000           6.000000       
5.000000             4.379562                  137.000000           6.000000       
5.000000             4.379562                  137.000000           6.000000       
