Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             98.333333                 840.000000           826.000000     
1.000000             1.666667                  840.000000           14.000000      
2.000000             95.833333                 672.000000           644.000000     
2.000000             2.083333                  672.000000           14.000000      
2.000000             2.083333                  672.000000           14.000000      
3.000000             97.216700                 503.000000           489.000000     
3.000000             2.783300                  503.000000           14.000000      
4.000000             91.666667                 336.000000           308.000000     
4.000000             4.166667                  336.000000           14.000000      
4.000000             4.166667                  336.000000           14.000000      
5.000000             91.666667                 336.000000           308.000000     
5.000000             8.333333                  336.000000           28.000000      
6.000000             91.666667                 168.000000           154.000000     
6.000000             8.333333                  168.000000           14.000000      
7.000000             91.666667                 168.000000           154.000000     
7.000000             8.333333                  168.000000           14.000000      
8.000000             91.666667                 168.000000           154.000000     
8.000000             8.333333                  168.000000           14.000000      
9.000000             91.666667                 168.000000           154.000000     
9.000000             8.333333                  168.000000           14.000000      
10.000000            91.666667                 168.000000           154.000000     
10.000000            8.333333                  168.000000           14.000000      
11.000000            91.666667                 168.000000           154.000000     
11.000000            8.333333                  168.000000           14.000000      
12.000000            91.666667                 168.000000           154.000000     
12.000000            8.333333                  168.000000           14.000000      
13.000000            91.666667                 168.000000           154.000000     
13.000000            8.333333                  168.000000           14.000000      
