Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             57.377049                 610.000000           350.000000     
1.000000             5.573770                  610.000000           34.000000      
1.000000             4.262295                  610.000000           26.000000      
1.000000             3.770492                  610.000000           23.000000      
1.000000             3.278689                  610.000000           20.000000      
1.000000             3.114754                  610.000000           19.000000      
1.000000             2.622951                  610.000000           16.000000      
1.000000             2.459016                  610.000000           15.000000      
1.000000             1.967213                  610.000000           12.000000      
1.000000             1.803279                  610.000000           11.000000      
1.000000             1.475410                  610.000000           9.000000       
1.000000             1.475410                  610.000000           9.000000       
1.000000             1.311475                  610.000000           8.000000       
1.000000             1.147541                  610.000000           7.000000       
1.000000             1.147541                  610.000000           7.000000       
1.000000             0.983607                  610.000000           6.000000       
1.000000             0.819672                  610.000000           5.000000       
1.000000             0.819672                  610.000000           5.000000       
1.000000             0.655738                  610.000000           4.000000       
1.000000             0.655738                  610.000000           4.000000       
1.000000             0.491803                  610.000000           3.000000       
1.000000             0.491803                  610.000000           3.000000       
1.000000             0.327869                  610.000000           2.000000       
1.000000             0.327869                  610.000000           2.000000       
1.000000             0.327869                  610.000000           2.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
1.000000             0.163934                  610.000000           1.000000       
2.000000             20.060790                 329.000000           66.000000      
2.000000             8.814590                  329.000000           29.000000      
2.000000             6.686930                  329.000000           22.000000      
2.000000             5.775076                  329.000000           19.000000      
2.000000             4.559271                  329.000000           15.000000      
2.000000             4.559271                  329.000000           15.000000      
2.000000             4.255319                  329.000000           14.000000      
2.000000             3.951368                  329.000000           13.000000      
2.000000             3.647416                  329.000000           12.000000      
2.000000             3.647416                  329.000000           12.000000      
2.000000             3.343465                  329.000000           11.000000      
2.000000             3.343465                  329.000000           11.000000      
2.000000             3.343465                  329.000000           11.000000      
2.000000             2.431611                  329.000000           8.000000       
2.000000             2.431611                  329.000000           8.000000       
2.000000             2.431611                  329.000000           8.000000       
2.000000             2.127660                  329.000000           7.000000       
2.000000             2.127660                  329.000000           7.000000       
2.000000             1.823708                  329.000000           6.000000       
2.000000             1.519757                  329.000000           5.000000       
2.000000             1.519757                  329.000000           5.000000       
2.000000             1.215805                  329.000000           4.000000       
2.000000             1.215805                  329.000000           4.000000       
2.000000             1.215805                  329.000000           4.000000       
2.000000             0.911854                  329.000000           3.000000       
2.000000             0.911854                  329.000000           3.000000       
2.000000             0.911854                  329.000000           3.000000       
2.000000             0.303951                  329.000000           1.000000       
2.000000             0.303951                  329.000000           1.000000       
2.000000             0.303951                  329.000000           1.000000       
2.000000             0.303951                  329.000000           1.000000       
3.000000             38.461538                 78.000000            30.000000      
3.000000             15.384615                 78.000000            12.000000      
3.000000             8.974359                  78.000000            7.000000       
3.000000             7.692308                  78.000000            6.000000       
3.000000             5.128205                  78.000000            4.000000       
3.000000             5.128205                  78.000000            4.000000       
3.000000             3.846154                  78.000000            3.000000       
3.000000             2.564103                  78.000000            2.000000       
3.000000             2.564103                  78.000000            2.000000       
3.000000             2.564103                  78.000000            2.000000       
3.000000             1.282051                  78.000000            1.000000       
3.000000             1.282051                  78.000000            1.000000       
3.000000             1.282051                  78.000000            1.000000       
3.000000             1.282051                  78.000000            1.000000       
3.000000             1.282051                  78.000000            1.000000       
3.000000             1.282051                  78.000000            1.000000       
4.000000             46.551724                 58.000000            27.000000      
4.000000             20.689655                 58.000000            12.000000      
4.000000             10.344828                 58.000000            6.000000       
4.000000             5.172414                  58.000000            3.000000       
4.000000             3.448276                  58.000000            2.000000       
4.000000             3.448276                  58.000000            2.000000       
4.000000             1.724138                  58.000000            1.000000       
4.000000             1.724138                  58.000000            1.000000       
4.000000             1.724138                  58.000000            1.000000       
4.000000             1.724138                  58.000000            1.000000       
4.000000             1.724138                  58.000000            1.000000       
4.000000             1.724138                  58.000000            1.000000       
5.000000             24.271845                 103.000000           25.000000      
5.000000             23.300971                 103.000000           24.000000      
5.000000             14.563107                 103.000000           15.000000      
5.000000             7.766990                  103.000000           8.000000       
5.000000             5.825243                  103.000000           6.000000       
5.000000             5.825243                  103.000000           6.000000       
5.000000             4.854369                  103.000000           5.000000       
5.000000             3.883495                  103.000000           4.000000       
5.000000             1.941748                  103.000000           2.000000       
5.000000             1.941748                  103.000000           2.000000       
5.000000             1.941748                  103.000000           2.000000       
5.000000             1.941748                  103.000000           2.000000       
5.000000             0.970874                  103.000000           1.000000       
5.000000             0.970874                  103.000000           1.000000       
6.000000             87.500000                 24.000000            21.000000      
6.000000             12.500000                 24.000000            3.000000       
7.000000             32.203390                 59.000000            19.000000      
7.000000             16.949153                 59.000000            10.000000      
7.000000             13.559322                 59.000000            8.000000       
7.000000             6.779661                  59.000000            4.000000       
7.000000             6.779661                  59.000000            4.000000       
7.000000             6.779661                  59.000000            4.000000       
7.000000             5.084746                  59.000000            3.000000       
7.000000             5.084746                  59.000000            3.000000       
7.000000             3.389831                  59.000000            2.000000       
7.000000             3.389831                  59.000000            2.000000       
8.000000             72.727273                 22.000000            16.000000      
8.000000             13.636364                 22.000000            3.000000       
8.000000             9.090909                  22.000000            2.000000       
8.000000             4.545455                  22.000000            1.000000       
9.000000             23.188406                 69.000000            16.000000      
9.000000             21.739130                 69.000000            15.000000      
9.000000             11.594203                 69.000000            8.000000       
9.000000             11.594203                 69.000000            8.000000       
9.000000             8.695652                  69.000000            6.000000       
9.000000             8.695652                  69.000000            6.000000       
9.000000             7.246377                  69.000000            5.000000       
9.000000             2.898551                  69.000000            2.000000       
9.000000             2.898551                  69.000000            2.000000       
9.000000             1.449275                  69.000000            1.000000       
10.000000            36.585366                 41.000000            15.000000      
10.000000            17.073171                 41.000000            7.000000       
10.000000            7.317073                  41.000000            3.000000       
10.000000            7.317073                  41.000000            3.000000       
10.000000            4.878049                  41.000000            2.000000       
10.000000            4.878049                  41.000000            2.000000       
10.000000            4.878049                  41.000000            2.000000       
10.000000            2.439024                  41.000000            1.000000       
10.000000            2.439024                  41.000000            1.000000       
10.000000            2.439024                  41.000000            1.000000       
10.000000            2.439024                  41.000000            1.000000       
10.000000            2.439024                  41.000000            1.000000       
10.000000            2.439024                  41.000000            1.000000       
10.000000            2.439024                  41.000000            1.000000       
11.000000            24.137931                 58.000000            14.000000      
11.000000            18.965517                 58.000000            11.000000      
11.000000            17.241379                 58.000000            10.000000      
11.000000            10.344828                 58.000000            6.000000       
11.000000            8.620690                  58.000000            5.000000       
11.000000            6.896552                  58.000000            4.000000       
11.000000            5.172414                  58.000000            3.000000       
11.000000            3.448276                  58.000000            2.000000       
11.000000            3.448276                  58.000000            2.000000       
11.000000            1.724138                  58.000000            1.000000       
12.000000            45.161290                 31.000000            14.000000      
12.000000            19.354839                 31.000000            6.000000       
12.000000            9.677419                  31.000000            3.000000       
12.000000            6.451613                  31.000000            2.000000       
12.000000            6.451613                  31.000000            2.000000       
12.000000            6.451613                  31.000000            2.000000       
12.000000            3.225806                  31.000000            1.000000       
12.000000            3.225806                  31.000000            1.000000       
13.000000            27.659574                 47.000000            13.000000      
13.000000            23.404255                 47.000000            11.000000      
13.000000            14.893617                 47.000000            7.000000       
13.000000            14.893617                 47.000000            7.000000       
13.000000            10.638298                 47.000000            5.000000       
13.000000            6.382979                  47.000000            3.000000       
13.000000            2.127660                  47.000000            1.000000       
14.000000            16.216216                 74.000000            12.000000      
14.000000            13.513514                 74.000000            10.000000      
14.000000            10.810811                 74.000000            8.000000       
14.000000            9.459459                  74.000000            7.000000       
14.000000            9.459459                  74.000000            7.000000       
14.000000            8.108108                  74.000000            6.000000       
14.000000            5.405405                  74.000000            4.000000       
14.000000            5.405405                  74.000000            4.000000       
14.000000            5.405405                  74.000000            4.000000       
14.000000            4.054054                  74.000000            3.000000       
14.000000            2.702703                  74.000000            2.000000       
14.000000            2.702703                  74.000000            2.000000       
14.000000            2.702703                  74.000000            2.000000       
14.000000            2.702703                  74.000000            2.000000       
14.000000            1.351351                  74.000000            1.000000       
15.000000            21.428571                 56.000000            12.000000      
15.000000            16.071429                 56.000000            9.000000       
15.000000            14.285714                 56.000000            8.000000       
15.000000            12.500000                 56.000000            7.000000       
15.000000            10.714286                 56.000000            6.000000       
15.000000            8.928571                  56.000000            5.000000       
15.000000            8.928571                  56.000000            5.000000       
15.000000            7.142857                  56.000000            4.000000       
16.000000            20.689655                 58.000000            12.000000      
16.000000            17.241379                 58.000000            10.000000      
16.000000            15.517241                 58.000000            9.000000       
16.000000            13.793103                 58.000000            8.000000       
16.000000            12.068966                 58.000000            7.000000       
16.000000            8.620690                  58.000000            5.000000       
16.000000            5.172414                  58.000000            3.000000       
16.000000            5.172414                  58.000000            3.000000       
16.000000            1.724138                  58.000000            1.000000       
17.000000            23.076923                 52.000000            12.000000      
17.000000            21.153846                 52.000000            11.000000      
17.000000            13.461538                 52.000000            7.000000       
17.000000            9.615385                  52.000000            5.000000       
17.000000            9.615385                  52.000000            5.000000       
17.000000            7.692308                  52.000000            4.000000       
17.000000            5.769231                  52.000000            3.000000       
17.000000            5.769231                  52.000000            3.000000       
17.000000            1.923077                  52.000000            1.000000       
17.000000            1.923077                  52.000000            1.000000       
18.000000            20.000000                 55.000000            11.000000      
18.000000            18.181818                 55.000000            10.000000      
18.000000            12.727273                 55.000000            7.000000       
18.000000            12.727273                 55.000000            7.000000       
18.000000            10.909091                 55.000000            6.000000       
18.000000            9.090909                  55.000000            5.000000       
18.000000            9.090909                  55.000000            5.000000       
18.000000            1.818182                  55.000000            1.000000       
18.000000            1.818182                  55.000000            1.000000       
18.000000            1.818182                  55.000000            1.000000       
18.000000            1.818182                  55.000000            1.000000       
19.000000            30.303030                 33.000000            10.000000      
19.000000            18.181818                 33.000000            6.000000       
19.000000            15.151515                 33.000000            5.000000       
19.000000            12.121212                 33.000000            4.000000       
19.000000            9.090909                  33.000000            3.000000       
19.000000            6.060606                  33.000000            2.000000       
19.000000            6.060606                  33.000000            2.000000       
19.000000            3.030303                  33.000000            1.000000       
20.000000            37.037037                 27.000000            10.000000      
20.000000            22.222222                 27.000000            6.000000       
20.000000            14.814815                 27.000000            4.000000       
