Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             41.287879                 264.000000           109.000000     
1.000000             13.257576                 264.000000           35.000000      
1.000000             10.606061                 264.000000           28.000000      
1.000000             7.575758                  264.000000           20.000000      
1.000000             6.818182                  264.000000           18.000000      
1.000000             4.545455                  264.000000           12.000000      
1.000000             3.030303                  264.000000           8.000000       
1.000000             1.893939                  264.000000           5.000000       
1.000000             1.515152                  264.000000           4.000000       
1.000000             1.136364                  264.000000           3.000000       
1.000000             0.757576                  264.000000           2.000000       
1.000000             0.757576                  264.000000           2.000000       
1.000000             0.757576                  264.000000           2.000000       
1.000000             0.757576                  264.000000           2.000000       
1.000000             0.757576                  264.000000           2.000000       
1.000000             0.757576                  264.000000           2.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
1.000000             0.378788                  264.000000           1.000000       
2.000000             51.219512                 164.000000           84.000000      
2.000000             16.463415                 164.000000           27.000000      
2.000000             14.024390                 164.000000           23.000000      
2.000000             10.365854                 164.000000           17.000000      
2.000000             4.268293                  164.000000           7.000000       
2.000000             2.439024                  164.000000           4.000000       
2.000000             0.609756                  164.000000           1.000000       
2.000000             0.609756                  164.000000           1.000000       
3.000000             33.333333                 246.000000           82.000000      
3.000000             13.008130                 246.000000           32.000000      
3.000000             9.349593                  246.000000           23.000000      
3.000000             7.723577                  246.000000           19.000000      
3.000000             7.317073                  246.000000           18.000000      
3.000000             4.471545                  246.000000           11.000000      
3.000000             3.658537                  246.000000           9.000000       
3.000000             3.658537                  246.000000           9.000000       
3.000000             2.845528                  246.000000           7.000000       
3.000000             2.439024                  246.000000           6.000000       
3.000000             2.439024                  246.000000           6.000000       
3.000000             2.439024                  246.000000           6.000000       
3.000000             2.032520                  246.000000           5.000000       
3.000000             2.032520                  246.000000           5.000000       
3.000000             0.813008                  246.000000           2.000000       
3.000000             0.813008                  246.000000           2.000000       
3.000000             0.813008                  246.000000           2.000000       
3.000000             0.406504                  246.000000           1.000000       
3.000000             0.406504                  246.000000           1.000000       
4.000000             19.047619                 210.000000           40.000000      
4.000000             12.380952                 210.000000           26.000000      
4.000000             10.000000                 210.000000           21.000000      
4.000000             6.190476                  210.000000           13.000000      
4.000000             5.238095                  210.000000           11.000000      
4.000000             4.761905                  210.000000           10.000000      
4.000000             4.285714                  210.000000           9.000000       
4.000000             3.333333                  210.000000           7.000000       
4.000000             3.333333                  210.000000           7.000000       
4.000000             3.333333                  210.000000           7.000000       
4.000000             2.857143                  210.000000           6.000000       
4.000000             2.857143                  210.000000           6.000000       
4.000000             2.857143                  210.000000           6.000000       
