Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             95.184997                 1973.000000          1878.000000    
1.000000             1.368474                  1973.000000          27.000000      
1.000000             0.658895                  1973.000000          13.000000      
1.000000             0.658895                  1973.000000          13.000000      
1.000000             0.202737                  1973.000000          4.000000       
1.000000             0.202737                  1973.000000          4.000000       
1.000000             0.202737                  1973.000000          4.000000       
1.000000             0.202737                  1973.000000          4.000000       
1.000000             0.202737                  1973.000000          4.000000       
1.000000             0.152053                  1973.000000          3.000000       
1.000000             0.152053                  1973.000000          3.000000       
1.000000             0.152053                  1973.000000          3.000000       
1.000000             0.152053                  1973.000000          3.000000       
1.000000             0.152053                  1973.000000          3.000000       
1.000000             0.101368                  1973.000000          2.000000       
1.000000             0.101368                  1973.000000          2.000000       
1.000000             0.050684                  1973.000000          1.000000       
1.000000             0.050684                  1973.000000          1.000000       
1.000000             0.050684                  1973.000000          1.000000       
2.000000             95.470383                 1148.000000          1096.000000    
2.000000             2.264808                  1148.000000          26.000000      
2.000000             0.348432                  1148.000000          4.000000       
2.000000             0.348432                  1148.000000          4.000000       
2.000000             0.348432                  1148.000000          4.000000       
2.000000             0.348432                  1148.000000          4.000000       
2.000000             0.261324                  1148.000000          3.000000       
2.000000             0.261324                  1148.000000          3.000000       
2.000000             0.174216                  1148.000000          2.000000       
2.000000             0.087108                  1148.000000          1.000000       
2.000000             0.087108                  1148.000000          1.000000       
3.000000             94.561934                 331.000000           313.000000     
3.000000             3.927492                  331.000000           13.000000      
3.000000             0.604230                  331.000000           2.000000       
3.000000             0.604230                  331.000000           2.000000       
3.000000             0.302115                  331.000000           1.000000       
4.000000             93.597561                 328.000000           307.000000     
4.000000             3.963415                  328.000000           13.000000      
4.000000             1.219512                  328.000000           4.000000       
4.000000             0.914634                  328.000000           3.000000       
4.000000             0.304878                  328.000000           1.000000       
5.000000             90.963855                 166.000000           151.000000     
5.000000             7.831325                  166.000000           13.000000      
5.000000             0.602410                  166.000000           1.000000       
5.000000             0.602410                  166.000000           1.000000       
6.000000             80.000000                 5.000000             4.000000       
6.000000             20.000000                 5.000000             1.000000       
0.000000             100.000000                3.000000             3.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                3.000000             3.000000       
