Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             93.098958                 768.000000           715.000000     
1.000000             1.692708                  768.000000           13.000000      
1.000000             1.562500                  768.000000           12.000000      
1.000000             0.260417                  768.000000           2.000000       
1.000000             0.260417                  768.000000           2.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
1.000000             0.130208                  768.000000           1.000000       
2.000000             89.285714                 756.000000           675.000000     
2.000000             1.719577                  756.000000           13.000000      
2.000000             1.587302                  756.000000           12.000000      
2.000000             1.455026                  756.000000           11.000000      
2.000000             1.190476                  756.000000           9.000000       
2.000000             0.264550                  756.000000           2.000000       
2.000000             0.264550                  756.000000           2.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
2.000000             0.132275                  756.000000           1.000000       
3.000000             89.580514                 739.000000           662.000000     
3.000000             2.706360                  739.000000           20.000000      
3.000000             1.623816                  739.000000           12.000000      
3.000000             0.405954                  739.000000           3.000000       
3.000000             0.405954                  739.000000           3.000000       
3.000000             0.270636                  739.000000           2.000000       
3.000000             0.270636                  739.000000           2.000000       
3.000000             0.270636                  739.000000           2.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
3.000000             0.135318                  739.000000           1.000000       
4.000000             91.304348                 437.000000           399.000000     
4.000000             2.288330                  437.000000           10.000000      
4.000000             1.144165                  437.000000           5.000000       
4.000000             0.457666                  437.000000           2.000000       
4.000000             0.457666                  437.000000           2.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
4.000000             0.228833                  437.000000           1.000000       
5.000000             86.006826                 293.000000           252.000000     
5.000000             4.436860                  293.000000           13.000000      
5.000000             3.754266                  293.000000           11.000000      
5.000000             0.682594                  293.000000           2.000000       
5.000000             0.682594                  293.000000           2.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
5.000000             0.341297                  293.000000           1.000000       
6.000000             87.820513                 156.000000           137.000000     
6.000000             7.692308                  156.000000           12.000000      
6.000000             1.282051                  156.000000           2.000000       
6.000000             0.641026                  156.000000           1.000000       
6.000000             0.641026                  156.000000           1.000000       
6.000000             0.641026                  156.000000           1.000000       
6.000000             0.641026                  156.000000           1.000000       
6.000000             0.641026                  156.000000           1.000000       
7.000000             88.435374                 147.000000           130.000000     
7.000000             8.163265                  147.000000           12.000000      
7.000000             1.360544                  147.000000           2.000000       
7.000000             0.680272                  147.000000           1.000000       
7.000000             0.680272                  147.000000           1.000000       
7.000000             0.680272                  147.000000           1.000000       
8.000000             87.162162                 148.000000           129.000000     
8.000000             8.108108                  148.000000           12.000000      
8.000000             0.675676                  148.000000           1.000000       
8.000000             0.675676                  148.000000           1.000000       
8.000000             0.675676                  148.000000           1.000000       
8.000000             0.675676                  148.000000           1.000000       
8.000000             0.675676                  148.000000           1.000000       
8.000000             0.675676                  148.000000           1.000000       
8.000000             0.675676                  148.000000           1.000000       
9.000000             83.333333                 132.000000           110.000000     
9.000000             6.060606                  132.000000           8.000000       
9.000000             1.515152                  132.000000           2.000000       
9.000000             1.515152                  132.000000           2.000000       
9.000000             1.515152                  132.000000           2.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
9.000000             0.757576                  132.000000           1.000000       
10.000000            80.000000                 5.000000             4.000000       
10.000000            20.000000                 5.000000             1.000000       
11.000000            66.666667                 6.000000             4.000000       
11.000000            16.666667                 6.000000             1.000000       
11.000000            16.666667                 6.000000             1.000000       
12.000000            33.333333                 9.000000             3.000000       
12.000000            33.333333                 9.000000             3.000000       
12.000000            22.222222                 9.000000             2.000000       
12.000000            11.111111                 9.000000             1.000000       
13.000000            75.000000                 4.000000             3.000000       
13.000000            25.000000                 4.000000             1.000000       
14.000000            66.666667                 3.000000             2.000000       
14.000000            33.333333                 3.000000             1.000000       
15.000000            50.000000                 4.000000             2.000000       
15.000000            50.000000                 4.000000             2.000000       
16.000000            66.666667                 3.000000             2.000000       
16.000000            33.333333                 3.000000             1.000000       
17.000000            50.000000                 4.000000             2.000000       
17.000000            25.000000                 4.000000             1.000000       
17.000000            25.000000                 4.000000             1.000000       
18.000000            66.666667                 3.000000             2.000000       
18.000000            33.333333                 3.000000             1.000000       
19.000000            50.000000                 4.000000             2.000000       
19.000000            25.000000                 4.000000             1.000000       
19.000000            25.000000                 4.000000             1.000000       
20.000000            66.666667                 3.000000             2.000000       
20.000000            33.333333                 3.000000             1.000000       
