Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             70.492754                 1725.000000          1216.000000    
1.000000             10.086957                 1725.000000          174.000000     
1.000000             4.115942                  1725.000000          71.000000      
1.000000             3.652174                  1725.000000          63.000000      
1.000000             3.362319                  1725.000000          58.000000      
1.000000             2.318841                  1725.000000          40.000000      
1.000000             1.623188                  1725.000000          28.000000      
1.000000             1.623188                  1725.000000          28.000000      
1.000000             0.579710                  1725.000000          10.000000      
1.000000             0.579710                  1725.000000          10.000000      
1.000000             0.289855                  1725.000000          5.000000       
1.000000             0.289855                  1725.000000          5.000000       
1.000000             0.231884                  1725.000000          4.000000       
1.000000             0.231884                  1725.000000          4.000000       
1.000000             0.173913                  1725.000000          3.000000       
1.000000             0.115942                  1725.000000          2.000000       
1.000000             0.057971                  1725.000000          1.000000       
1.000000             0.057971                  1725.000000          1.000000       
1.000000             0.057971                  1725.000000          1.000000       
1.000000             0.057971                  1725.000000          1.000000       
2.000000             66.666667                 528.000000           352.000000     
2.000000             29.356061                 528.000000           155.000000     
2.000000             2.083333                  528.000000           11.000000      
2.000000             1.893939                  528.000000           10.000000      
3.000000             59.173127                 387.000000           229.000000     
3.000000             18.087855                 387.000000           70.000000      
3.000000             17.829457                 387.000000           69.000000      
3.000000             3.100775                  387.000000           12.000000      
3.000000             0.775194                  387.000000           3.000000       
3.000000             0.516796                  387.000000           2.000000       
3.000000             0.258398                  387.000000           1.000000       
3.000000             0.258398                  387.000000           1.000000       
4.000000             72.413793                 290.000000           210.000000     
4.000000             20.344828                 290.000000           59.000000      
4.000000             4.827586                  290.000000           14.000000      
4.000000             0.689655                  290.000000           2.000000       
4.000000             0.689655                  290.000000           2.000000       
4.000000             0.689655                  290.000000           2.000000       
4.000000             0.344828                  290.000000           1.000000       
5.000000             63.878327                 263.000000           168.000000     
5.000000             30.798479                 263.000000           81.000000      
5.000000             4.562738                  263.000000           12.000000      
5.000000             0.380228                  263.000000           1.000000       
5.000000             0.380228                  263.000000           1.000000       
6.000000             59.183673                 245.000000           145.000000     
6.000000             14.285714                 245.000000           35.000000      
6.000000             11.428571                 245.000000           28.000000      
6.000000             4.897959                  245.000000           12.000000      
6.000000             4.489796                  245.000000           11.000000      
6.000000             1.224490                  245.000000           3.000000       
6.000000             0.816327                  245.000000           2.000000       
6.000000             0.816327                  245.000000           2.000000       
6.000000             0.816327                  245.000000           2.000000       
6.000000             0.816327                  245.000000           2.000000       
6.000000             0.408163                  245.000000           1.000000       
6.000000             0.408163                  245.000000           1.000000       
6.000000             0.408163                  245.000000           1.000000       
7.000000             67.910448                 134.000000           91.000000      
7.000000             25.373134                 134.000000           34.000000      
7.000000             5.970149                  134.000000           8.000000       
7.000000             0.746269                  134.000000           1.000000       
8.000000             47.468354                 158.000000           75.000000      
8.000000             25.316456                 158.000000           40.000000      
8.000000             22.784810                 158.000000           36.000000      
8.000000             1.265823                  158.000000           2.000000       
8.000000             0.632911                  158.000000           1.000000       
8.000000             0.632911                  158.000000           1.000000       
8.000000             0.632911                  158.000000           1.000000       
8.000000             0.632911                  158.000000           1.000000       
8.000000             0.632911                  158.000000           1.000000       
9.000000             57.851240                 121.000000           70.000000      
9.000000             30.578512                 121.000000           37.000000      
9.000000             11.570248                 121.000000           14.000000      
10.000000            56.302521                 119.000000           67.000000      
10.000000            41.176471                 119.000000           49.000000      
10.000000            2.521008                  119.000000           3.000000       
11.000000            90.909091                 11.000000            10.000000      
11.000000            9.090909                  11.000000            1.000000       
12.000000            72.727273                 11.000000            8.000000       
12.000000            27.272727                 11.000000            3.000000       
13.000000            75.000000                 4.000000             3.000000       
13.000000            25.000000                 4.000000             1.000000       
14.000000            66.666667                 3.000000             2.000000       
14.000000            33.333333                 3.000000             1.000000       
15.000000            50.000000                 4.000000             2.000000       
15.000000            50.000000                 4.000000             2.000000       
16.000000            66.666667                 3.000000             2.000000       
16.000000            33.333333                 3.000000             1.000000       
17.000000            50.000000                 2.000000             1.000000       
17.000000            50.000000                 2.000000             1.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                3.000000             3.000000       
