Dataset Size: 1243                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             78.301887                 212.000000           166.000000     
1.000000             6.603774                  212.000000           14.000000      
1.000000             3.773585                  212.000000           8.000000       
1.000000             2.358491                  212.000000           5.000000       
1.000000             2.358491                  212.000000           5.000000       
1.000000             1.415094                  212.000000           3.000000       
1.000000             1.415094                  212.000000           3.000000       
1.000000             0.943396                  212.000000           2.000000       
1.000000             0.943396                  212.000000           2.000000       
1.000000             0.471698                  212.000000           1.000000       
1.000000             0.471698                  212.000000           1.000000       
1.000000             0.471698                  212.000000           1.000000       
1.000000             0.471698                  212.000000           1.000000       
2.000000             76.136364                 176.000000           134.000000     
2.000000             6.250000                  176.000000           11.000000      
2.000000             4.545455                  176.000000           8.000000       
2.000000             3.977273                  176.000000           7.000000       
2.000000             1.704545                  176.000000           3.000000       
2.000000             1.136364                  176.000000           2.000000       
2.000000             1.136364                  176.000000           2.000000       
2.000000             1.136364                  176.000000           2.000000       
2.000000             1.136364                  176.000000           2.000000       
2.000000             0.568182                  176.000000           1.000000       
2.000000             0.568182                  176.000000           1.000000       
2.000000             0.568182                  176.000000           1.000000       
2.000000             0.568182                  176.000000           1.000000       
2.000000             0.568182                  176.000000           1.000000       
3.000000             62.352941                 85.000000            53.000000      
3.000000             10.588235                 85.000000            9.000000       
3.000000             5.882353                  85.000000            5.000000       
3.000000             3.529412                  85.000000            3.000000       
3.000000             3.529412                  85.000000            3.000000       
3.000000             2.352941                  85.000000            2.000000       
3.000000             2.352941                  85.000000            2.000000       
3.000000             2.352941                  85.000000            2.000000       
3.000000             1.176471                  85.000000            1.000000       
3.000000             1.176471                  85.000000            1.000000       
3.000000             1.176471                  85.000000            1.000000       
3.000000             1.176471                  85.000000            1.000000       
3.000000             1.176471                  85.000000            1.000000       
3.000000             1.176471                  85.000000            1.000000       
4.000000             51.020408                 49.000000            25.000000      
4.000000             16.326531                 49.000000            8.000000       
4.000000             16.326531                 49.000000            8.000000       
4.000000             12.244898                 49.000000            6.000000       
4.000000             2.040816                  49.000000            1.000000       
4.000000             2.040816                  49.000000            1.000000       
5.000000             76.190476                 21.000000            16.000000      
5.000000             14.285714                 21.000000            3.000000       
5.000000             4.761905                  21.000000            1.000000       
5.000000             4.761905                  21.000000            1.000000       
6.000000             50.000000                 30.000000            15.000000      
6.000000             26.666667                 30.000000            8.000000       
6.000000             10.000000                 30.000000            3.000000       
6.000000             3.333333                  30.000000            1.000000       
6.000000             3.333333                  30.000000            1.000000       
6.000000             3.333333                  30.000000            1.000000       
6.000000             3.333333                  30.000000            1.000000       
7.000000             44.827586                 29.000000            13.000000      
7.000000             31.034483                 29.000000            9.000000       
7.000000             24.137931                 29.000000            7.000000       
8.000000             48.148148                 27.000000            13.000000      
8.000000             14.814815                 27.000000            4.000000       
8.000000             7.407407                  27.000000            2.000000       
8.000000             7.407407                  27.000000            2.000000       
8.000000             3.703704                  27.000000            1.000000       
8.000000             3.703704                  27.000000            1.000000       
8.000000             3.703704                  27.000000            1.000000       
8.000000             3.703704                  27.000000            1.000000       
8.000000             3.703704                  27.000000            1.000000       
8.000000             3.703704                  27.000000            1.000000       
9.000000             38.709677                 31.000000            12.000000      
9.000000             16.129032                 31.000000            5.000000       
9.000000             16.129032                 31.000000            5.000000       
9.000000             9.677419                  31.000000            3.000000       
9.000000             6.451613                  31.000000            2.000000       
9.000000             3.225806                  31.000000            1.000000       
9.000000             3.225806                  31.000000            1.000000       
9.000000             3.225806                  31.000000            1.000000       
9.000000             3.225806                  31.000000            1.000000       
10.000000            84.615385                 13.000000            11.000000      
10.000000            7.692308                  13.000000            1.000000       
10.000000            7.692308                  13.000000            1.000000       
11.000000            52.631579                 19.000000            10.000000      
11.000000            47.368421                 19.000000            9.000000       
12.000000            90.909091                 11.000000            10.000000      
12.000000            9.090909                  11.000000            1.000000       
13.000000            60.000000                 15.000000            9.000000       
13.000000            6.666667                  15.000000            1.000000       
13.000000            6.666667                  15.000000            1.000000       
13.000000            6.666667                  15.000000            1.000000       
13.000000            6.666667                  15.000000            1.000000       
13.000000            6.666667                  15.000000            1.000000       
13.000000            6.666667                  15.000000            1.000000       
14.000000            64.285714                 14.000000            9.000000       
14.000000            14.285714                 14.000000            2.000000       
14.000000            14.285714                 14.000000            2.000000       
14.000000            7.142857                  14.000000            1.000000       
15.000000            40.000000                 20.000000            8.000000       
15.000000            20.000000                 20.000000            4.000000       
15.000000            15.000000                 20.000000            3.000000       
15.000000            5.000000                  20.000000            1.000000       
15.000000            5.000000                  20.000000            1.000000       
15.000000            5.000000                  20.000000            1.000000       
15.000000            5.000000                  20.000000            1.000000       
15.000000            5.000000                  20.000000            1.000000       
16.000000            61.538462                 13.000000            8.000000       
16.000000            7.692308                  13.000000            1.000000       
16.000000            7.692308                  13.000000            1.000000       
16.000000            7.692308                  13.000000            1.000000       
16.000000            7.692308                  13.000000            1.000000       
16.000000            7.692308                  13.000000            1.000000       
17.000000            34.782609                 23.000000            8.000000       
17.000000            13.043478                 23.000000            3.000000       
17.000000            13.043478                 23.000000            3.000000       
17.000000            13.043478                 23.000000            3.000000       
17.000000            8.695652                  23.000000            2.000000       
17.000000            8.695652                  23.000000            2.000000       
17.000000            4.347826                  23.000000            1.000000       
17.000000            4.347826                  23.000000            1.000000       
18.000000            25.000000                 32.000000            8.000000       
18.000000            15.625000                 32.000000            5.000000       
18.000000            9.375000                  32.000000            3.000000       
18.000000            9.375000                  32.000000            3.000000       
18.000000            6.250000                  32.000000            2.000000       
18.000000            6.250000                  32.000000            2.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
18.000000            3.125000                  32.000000            1.000000       
19.000000            54.545455                 11.000000            6.000000       
19.000000            27.272727                 11.000000            3.000000       
19.000000            18.181818                 11.000000            2.000000       
20.000000            50.000000                 12.000000            6.000000       
20.000000            41.666667                 12.000000            5.000000       
20.000000            8.333333                  12.000000            1.000000       
21.000000            54.545455                 11.000000            6.000000       
21.000000            18.181818                 11.000000            2.000000       
21.000000            9.090909                  11.000000            1.000000       
21.000000            9.090909                  11.000000            1.000000       
21.000000            9.090909                  11.000000            1.000000       
22.000000            40.000000                 15.000000            6.000000       
22.000000            26.666667                 15.000000            4.000000       
22.000000            13.333333                 15.000000            2.000000       
22.000000            6.666667                  15.000000            1.000000       
22.000000            6.666667                  15.000000            1.000000       
22.000000            6.666667                  15.000000            1.000000       
23.000000            33.333333                 18.000000            6.000000       
23.000000            22.222222                 18.000000            4.000000       
23.000000            11.111111                 18.000000            2.000000       
23.000000            11.111111                 18.000000            2.000000       
23.000000            5.555556                  18.000000            1.000000       
23.000000            5.555556                  18.000000            1.000000       
