Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             91.266913                 813.000000           742.000000     
1.000000             1.599016                  813.000000           13.000000      
1.000000             1.599016                  813.000000           13.000000      
1.000000             0.738007                  813.000000           6.000000       
1.000000             0.369004                  813.000000           3.000000       
1.000000             0.246002                  813.000000           2.000000       
1.000000             0.246002                  813.000000           2.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
1.000000             0.123001                  813.000000           1.000000       
2.000000             91.176471                 714.000000           651.000000     
2.000000             2.380952                  714.000000           17.000000      
2.000000             1.540616                  714.000000           11.000000      
2.000000             0.420168                  714.000000           3.000000       
2.000000             0.280112                  714.000000           2.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
2.000000             0.140056                  714.000000           1.000000       
3.000000             87.657431                 397.000000           348.000000     
3.000000             3.274559                  397.000000           13.000000      
3.000000             2.518892                  397.000000           10.000000      
3.000000             0.503778                  397.000000           2.000000       
3.000000             0.503778                  397.000000           2.000000       
3.000000             0.503778                  397.000000           2.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
3.000000             0.251889                  397.000000           1.000000       
4.000000             90.437158                 366.000000           331.000000     
4.000000             2.459016                  366.000000           9.000000       
4.000000             0.546448                  366.000000           2.000000       
4.000000             0.546448                  366.000000           2.000000       
4.000000             0.546448                  366.000000           2.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
4.000000             0.273224                  366.000000           1.000000       
5.000000             89.310345                 290.000000           259.000000     
5.000000             4.137931                  290.000000           12.000000      
5.000000             3.793103                  290.000000           11.000000      
5.000000             0.689655                  290.000000           2.000000       
5.000000             0.344828                  290.000000           1.000000       
5.000000             0.344828                  290.000000           1.000000       
5.000000             0.344828                  290.000000           1.000000       
5.000000             0.344828                  290.000000           1.000000       
5.000000             0.344828                  290.000000           1.000000       
5.000000             0.344828                  290.000000           1.000000       
6.000000             89.473684                 266.000000           238.000000     
6.000000             4.511278                  266.000000           12.000000      
6.000000             0.751880                  266.000000           2.000000       
6.000000             0.751880                  266.000000           2.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
6.000000             0.375940                  266.000000           1.000000       
7.000000             89.440994                 161.000000           144.000000     
7.000000             5.590062                  161.000000           9.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
7.000000             0.621118                  161.000000           1.000000       
8.000000             88.050314                 159.000000           140.000000     
8.000000             7.547170                  159.000000           12.000000      
8.000000             1.257862                  159.000000           2.000000       
8.000000             0.628931                  159.000000           1.000000       
8.000000             0.628931                  159.000000           1.000000       
8.000000             0.628931                  159.000000           1.000000       
8.000000             0.628931                  159.000000           1.000000       
8.000000             0.628931                  159.000000           1.000000       
9.000000             89.743590                 156.000000           140.000000     
9.000000             8.333333                  156.000000           13.000000      
9.000000             0.641026                  156.000000           1.000000       
9.000000             0.641026                  156.000000           1.000000       
9.000000             0.641026                  156.000000           1.000000       
10.000000            90.000000                 10.000000            9.000000       
10.000000            10.000000                 10.000000            1.000000       
11.000000            62.500000                 8.000000             5.000000       
11.000000            12.500000                 8.000000             1.000000       
11.000000            12.500000                 8.000000             1.000000       
11.000000            12.500000                 8.000000             1.000000       
12.000000            50.000000                 4.000000             2.000000       
12.000000            25.000000                 4.000000             1.000000       
12.000000            25.000000                 4.000000             1.000000       
13.000000            66.666667                 3.000000             2.000000       
13.000000            33.333333                 3.000000             1.000000       
14.000000            50.000000                 4.000000             2.000000       
14.000000            25.000000                 4.000000             1.000000       
14.000000            25.000000                 4.000000             1.000000       
15.000000            50.000000                 4.000000             2.000000       
15.000000            25.000000                 4.000000             1.000000       
15.000000            25.000000                 4.000000             1.000000       
16.000000            40.000000                 5.000000             2.000000       
16.000000            20.000000                 5.000000             1.000000       
16.000000            20.000000                 5.000000             1.000000       
16.000000            20.000000                 5.000000             1.000000       
17.000000            66.666667                 3.000000             2.000000       
17.000000            33.333333                 3.000000             1.000000       
18.000000            66.666667                 3.000000             2.000000       
18.000000            33.333333                 3.000000             1.000000       
19.000000            66.666667                 3.000000             2.000000       
19.000000            33.333333                 3.000000             1.000000       
20.000000            25.000000                 4.000000             1.000000       
20.000000            25.000000                 4.000000             1.000000       
20.000000            25.000000                 4.000000             1.000000       
20.000000            25.000000                 4.000000             1.000000       
21.000000            50.000000                 2.000000             1.000000       
21.000000            50.000000                 2.000000             1.000000       
22.000000            50.000000                 2.000000             1.000000       
22.000000            50.000000                 2.000000             1.000000       
23.000000            50.000000                 2.000000             1.000000       
23.000000            50.000000                 2.000000             1.000000       
24.000000            50.000000                 2.000000             1.000000       
24.000000            50.000000                 2.000000             1.000000       
25.000000            50.000000                 2.000000             1.000000       
25.000000            50.000000                 2.000000             1.000000       
26.000000            50.000000                 2.000000             1.000000       
26.000000            50.000000                 2.000000             1.000000       
27.000000            50.000000                 2.000000             1.000000       
27.000000            50.000000                 2.000000             1.000000       
28.000000            50.000000                 2.000000             1.000000       
28.000000            50.000000                 2.000000             1.000000       
29.000000            50.000000                 2.000000             1.000000       
29.000000            50.000000                 2.000000             1.000000       
30.000000            50.000000                 2.000000             1.000000       
30.000000            50.000000                 2.000000             1.000000       
31.000000            50.000000                 2.000000             1.000000       
31.000000            50.000000                 2.000000             1.000000       
32.000000            50.000000                 2.000000             1.000000       
32.000000            50.000000                 2.000000             1.000000       
33.000000            50.000000                 2.000000             1.000000       
33.000000            50.000000                 2.000000             1.000000       
34.000000            33.333333                 3.000000             1.000000       
34.000000            33.333333                 3.000000             1.000000       
34.000000            33.333333                 3.000000             1.000000       
35.000000            50.000000                 2.000000             1.000000       
35.000000            50.000000                 2.000000             1.000000       
36.000000            50.000000                 2.000000             1.000000       
36.000000            50.000000                 2.000000             1.000000       
37.000000            50.000000                 2.000000             1.000000       
37.000000            50.000000                 2.000000             1.000000       
38.000000            33.333333                 3.000000             1.000000       
38.000000            33.333333                 3.000000             1.000000       
38.000000            33.333333                 3.000000             1.000000       
39.000000            50.000000                 2.000000             1.000000       
39.000000            50.000000                 2.000000             1.000000       
40.000000            50.000000                 2.000000             1.000000       
40.000000            50.000000                 2.000000             1.000000       
41.000000            50.000000                 2.000000             1.000000       
41.000000            50.000000                 2.000000             1.000000       
42.000000            33.333333                 3.000000             1.000000       
42.000000            33.333333                 3.000000             1.000000       
42.000000            33.333333                 3.000000             1.000000       
43.000000            50.000000                 2.000000             1.000000       
43.000000            50.000000                 2.000000             1.000000       
44.000000            50.000000                 2.000000             1.000000       
44.000000            50.000000                 2.000000             1.000000       
45.000000            50.000000                 2.000000             1.000000       
45.000000            50.000000                 2.000000             1.000000       
46.000000            33.333333                 3.000000             1.000000       
46.000000            33.333333                 3.000000             1.000000       
46.000000            33.333333                 3.000000             1.000000       
47.000000            50.000000                 2.000000             1.000000       
47.000000            50.000000                 2.000000             1.000000       
48.000000            50.000000                 2.000000             1.000000       
48.000000            50.000000                 2.000000             1.000000       
49.000000            50.000000                 2.000000             1.000000       
49.000000            50.000000                 2.000000             1.000000       
50.000000            50.000000                 2.000000             1.000000       
50.000000            50.000000                 2.000000             1.000000       
51.000000            50.000000                 2.000000             1.000000       
51.000000            50.000000                 2.000000             1.000000       
52.000000            16.666667                 6.000000             1.000000       
52.000000            16.666667                 6.000000             1.000000       
52.000000            16.666667                 6.000000             1.000000       
52.000000            16.666667                 6.000000             1.000000       
52.000000            16.666667                 6.000000             1.000000       
52.000000            16.666667                 6.000000             1.000000       
53.000000            50.000000                 2.000000             1.000000       
53.000000            50.000000                 2.000000             1.000000       
54.000000            33.333333                 3.000000             1.000000       
54.000000            33.333333                 3.000000             1.000000       
54.000000            33.333333                 3.000000             1.000000       
55.000000            50.000000                 2.000000             1.000000       
55.000000            50.000000                 2.000000             1.000000       
56.000000            50.000000                 2.000000             1.000000       
56.000000            50.000000                 2.000000             1.000000       
57.000000            50.000000                 2.000000             1.000000       
57.000000            50.000000                 2.000000             1.000000       
