Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             40.265487                 226.000000           91.000000      
1.000000             12.831858                 226.000000           29.000000      
1.000000             4.424779                  226.000000           10.000000      
1.000000             3.982301                  226.000000           9.000000       
1.000000             3.539823                  226.000000           8.000000       
1.000000             3.097345                  226.000000           7.000000       
1.000000             3.097345                  226.000000           7.000000       
1.000000             2.212389                  226.000000           5.000000       
1.000000             2.212389                  226.000000           5.000000       
1.000000             2.212389                  226.000000           5.000000       
1.000000             2.212389                  226.000000           5.000000       
1.000000             1.769912                  226.000000           4.000000       
1.000000             1.327434                  226.000000           3.000000       
1.000000             1.327434                  226.000000           3.000000       
1.000000             1.327434                  226.000000           3.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.884956                  226.000000           2.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
1.000000             0.442478                  226.000000           1.000000       
2.000000             39.090909                 110.000000           43.000000      
2.000000             11.818182                 110.000000           13.000000      
2.000000             10.000000                 110.000000           11.000000      
2.000000             9.090909                  110.000000           10.000000      
2.000000             3.636364                  110.000000           4.000000       
2.000000             3.636364                  110.000000           4.000000       
2.000000             2.727273                  110.000000           3.000000       
2.000000             2.727273                  110.000000           3.000000       
2.000000             1.818182                  110.000000           2.000000       
2.000000             1.818182                  110.000000           2.000000       
2.000000             1.818182                  110.000000           2.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
2.000000             0.909091                  110.000000           1.000000       
3.000000             24.260355                 169.000000           41.000000      
3.000000             6.508876                  169.000000           11.000000      
3.000000             5.917160                  169.000000           10.000000      
3.000000             5.325444                  169.000000           9.000000       
3.000000             4.733728                  169.000000           8.000000       
3.000000             4.733728                  169.000000           8.000000       
3.000000             4.142012                  169.000000           7.000000       
3.000000             4.142012                  169.000000           7.000000       
3.000000             4.142012                  169.000000           7.000000       
3.000000             2.958580                  169.000000           5.000000       
3.000000             2.958580                  169.000000           5.000000       
3.000000             2.366864                  169.000000           4.000000       
3.000000             1.775148                  169.000000           3.000000       
3.000000             1.775148                  169.000000           3.000000       
3.000000             1.775148                  169.000000           3.000000       
3.000000             1.775148                  169.000000           3.000000       
3.000000             1.775148                  169.000000           3.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             1.183432                  169.000000           2.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
3.000000             0.591716                  169.000000           1.000000       
4.000000             25.757576                 132.000000           34.000000      
4.000000             6.818182                  132.000000           9.000000       
4.000000             4.545455                  132.000000           6.000000       
4.000000             4.545455                  132.000000           6.000000       
4.000000             3.787879                  132.000000           5.000000       
4.000000             3.787879                  132.000000           5.000000       
4.000000             3.030303                  132.000000           4.000000       
4.000000             2.272727                  132.000000           3.000000       
4.000000             2.272727                  132.000000           3.000000       
4.000000             2.272727                  132.000000           3.000000       
4.000000             2.272727                  132.000000           3.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             1.515152                  132.000000           2.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
4.000000             0.757576                  132.000000           1.000000       
5.000000             26.804124                 97.000000            26.000000      
5.000000             14.432990                 97.000000            14.000000      
5.000000             12.371134                 97.000000            12.000000      
5.000000             7.216495                  97.000000            7.000000       
5.000000             6.185567                  97.000000            6.000000       
5.000000             4.123711                  97.000000            4.000000       
