Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             98.224852                 169.000000           166.000000     
1.000000             1.183432                  169.000000           2.000000       
1.000000             0.591716                  169.000000           1.000000       
2.000000             23.404255                 235.000000           55.000000      
2.000000             8.510638                  235.000000           20.000000      
2.000000             3.404255                  235.000000           8.000000       
2.000000             2.978723                  235.000000           7.000000       
2.000000             2.978723                  235.000000           7.000000       
2.000000             2.978723                  235.000000           7.000000       
2.000000             2.978723                  235.000000           7.000000       
2.000000             2.553191                  235.000000           6.000000       
2.000000             2.553191                  235.000000           6.000000       
2.000000             2.553191                  235.000000           6.000000       
2.000000             2.553191                  235.000000           6.000000       
2.000000             2.553191                  235.000000           6.000000       
2.000000             2.127660                  235.000000           5.000000       
2.000000             2.127660                  235.000000           5.000000       
2.000000             2.127660                  235.000000           5.000000       
2.000000             1.702128                  235.000000           4.000000       
2.000000             1.702128                  235.000000           4.000000       
2.000000             1.702128                  235.000000           4.000000       
2.000000             1.702128                  235.000000           4.000000       
2.000000             1.276596                  235.000000           3.000000       
2.000000             1.276596                  235.000000           3.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.851064                  235.000000           2.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
2.000000             0.425532                  235.000000           1.000000       
3.000000             26.490066                 151.000000           40.000000      
3.000000             20.529801                 151.000000           31.000000      
3.000000             4.635762                  151.000000           7.000000       
3.000000             3.973510                  151.000000           6.000000       
3.000000             3.311258                  151.000000           5.000000       
3.000000             2.649007                  151.000000           4.000000       
