Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             69.755102                 2450.000000          1709.000000    
1.000000             26.897959                 2450.000000          659.000000     
1.000000             1.510204                  2450.000000          37.000000      
1.000000             0.489796                  2450.000000          12.000000      
1.000000             0.204082                  2450.000000          5.000000       
1.000000             0.122449                  2450.000000          3.000000       
1.000000             0.122449                  2450.000000          3.000000       
1.000000             0.081633                  2450.000000          2.000000       
1.000000             0.081633                  2450.000000          2.000000       
1.000000             0.081633                  2450.000000          2.000000       
1.000000             0.081633                  2450.000000          2.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
1.000000             0.040816                  2450.000000          1.000000       
2.000000             87.716956                 749.000000           657.000000     
2.000000             6.408545                  749.000000           48.000000      
2.000000             4.806409                  749.000000           36.000000      
2.000000             0.801068                  749.000000           6.000000       
2.000000             0.133511                  749.000000           1.000000       
2.000000             0.133511                  749.000000           1.000000       
3.000000             84.485666                 593.000000           501.000000     
3.000000             7.082631                  593.000000           42.000000      
3.000000             6.239460                  593.000000           37.000000      
3.000000             1.517707                  593.000000           9.000000       
3.000000             0.337268                  593.000000           2.000000       
3.000000             0.168634                  593.000000           1.000000       
3.000000             0.168634                  593.000000           1.000000       
4.000000             68.217054                 129.000000           88.000000      
4.000000             30.232558                 129.000000           39.000000      
4.000000             1.550388                  129.000000           2.000000       
5.000000             60.000000                 75.000000            45.000000      
5.000000             37.333333                 75.000000            28.000000      
5.000000             1.333333                  75.000000            1.000000       
5.000000             1.333333                  75.000000            1.000000       
6.000000             50.000000                 2.000000             1.000000       
6.000000             50.000000                 2.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                4.000000             4.000000       
0.000000             100.000000                3.000000             3.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
