Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             81.623550                 1121.000000          915.000000     
1.000000             4.727921                  1121.000000          53.000000      
1.000000             4.103479                  1121.000000          46.000000      
1.000000             3.389831                  1121.000000          38.000000      
1.000000             1.516503                  1121.000000          17.000000      
1.000000             1.159679                  1121.000000          13.000000      
1.000000             0.535236                  1121.000000          6.000000       
1.000000             0.356824                  1121.000000          4.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
1.000000             0.089206                  1121.000000          1.000000       
2.000000             77.286136                 678.000000           524.000000     
2.000000             6.637168                  678.000000           45.000000      
2.000000             5.899705                  678.000000           40.000000      
2.000000             4.277286                  678.000000           29.000000      
2.000000             1.917404                  678.000000           13.000000      
2.000000             1.474926                  678.000000           10.000000      
2.000000             0.737463                  678.000000           5.000000       
2.000000             0.737463                  678.000000           5.000000       
2.000000             0.442478                  678.000000           3.000000       
2.000000             0.147493                  678.000000           1.000000       
2.000000             0.147493                  678.000000           1.000000       
2.000000             0.147493                  678.000000           1.000000       
2.000000             0.147493                  678.000000           1.000000       
3.000000             89.030612                 392.000000           349.000000     
3.000000             2.551020                  392.000000           10.000000      
3.000000             2.295918                  392.000000           9.000000       
3.000000             1.785714                  392.000000           7.000000       
3.000000             1.275510                  392.000000           5.000000       
3.000000             1.020408                  392.000000           4.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
3.000000             0.255102                  392.000000           1.000000       
4.000000             57.232704                 477.000000           273.000000     
4.000000             10.482180                 477.000000           50.000000      
4.000000             10.062893                 477.000000           48.000000      
4.000000             4.402516                  477.000000           21.000000      
4.000000             2.725367                  477.000000           13.000000      
4.000000             2.725367                  477.000000           13.000000      
4.000000             2.096436                  477.000000           10.000000      
4.000000             1.886792                  477.000000           9.000000       
4.000000             1.048218                  477.000000           5.000000       
4.000000             0.838574                  477.000000           4.000000       
4.000000             0.419287                  477.000000           2.000000       
4.000000             0.419287                  477.000000           2.000000       
4.000000             0.419287                  477.000000           2.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
4.000000             0.209644                  477.000000           1.000000       
5.000000             52.777778                 324.000000           171.000000     
5.000000             20.061728                 324.000000           65.000000      
5.000000             11.728395                 324.000000           38.000000      
5.000000             5.864198                  324.000000           19.000000      
5.000000             2.160494                  324.000000           7.000000       
5.000000             0.925926                  324.000000           3.000000       
5.000000             0.617284                  324.000000           2.000000       
5.000000             0.308642                  324.000000           1.000000       
5.000000             0.308642                  324.000000           1.000000       
5.000000             0.308642                  324.000000           1.000000       
5.000000             0.308642                  324.000000           1.000000       
5.000000             0.308642                  324.000000           1.000000       
