Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             95.301028                 2724.000000          2596.000000    
1.000000             0.660793                  2724.000000          18.000000      
1.000000             0.440529                  2724.000000          12.000000      
1.000000             0.330396                  2724.000000          9.000000       
1.000000             0.146843                  2724.000000          4.000000       
1.000000             0.146843                  2724.000000          4.000000       
1.000000             0.110132                  2724.000000          3.000000       
1.000000             0.110132                  2724.000000          3.000000       
1.000000             0.110132                  2724.000000          3.000000       
1.000000             0.110132                  2724.000000          3.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.073421                  2724.000000          2.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
1.000000             0.036711                  2724.000000          1.000000       
2.000000             91.845494                 466.000000           428.000000     
2.000000             2.789700                  466.000000           13.000000      
2.000000             0.643777                  466.000000           3.000000       
2.000000             0.429185                  466.000000           2.000000       
2.000000             0.429185                  466.000000           2.000000       
2.000000             0.429185                  466.000000           2.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
2.000000             0.214592                  466.000000           1.000000       
3.000000             86.666667                 165.000000           143.000000     
3.000000             8.484848                  165.000000           14.000000      
3.000000             1.818182                  165.000000           3.000000       
3.000000             0.606061                  165.000000           1.000000       
3.000000             0.606061                  165.000000           1.000000       
3.000000             0.606061                  165.000000           1.000000       
3.000000             0.606061                  165.000000           1.000000       
3.000000             0.606061                  165.000000           1.000000       
4.000000             89.102564                 156.000000           139.000000     
4.000000             8.333333                  156.000000           13.000000      
4.000000             0.641026                  156.000000           1.000000       
4.000000             0.641026                  156.000000           1.000000       
4.000000             0.641026                  156.000000           1.000000       
4.000000             0.641026                  156.000000           1.000000       
5.000000             88.666667                 150.000000           133.000000     
5.000000             8.000000                  150.000000           12.000000      
5.000000             0.666667                  150.000000           1.000000       
5.000000             0.666667                  150.000000           1.000000       
5.000000             0.666667                  150.000000           1.000000       
5.000000             0.666667                  150.000000           1.000000       
5.000000             0.666667                  150.000000           1.000000       
6.000000             57.142857                 7.000000             4.000000       
6.000000             14.285714                 7.000000             1.000000       
6.000000             14.285714                 7.000000             1.000000       
6.000000             14.285714                 7.000000             1.000000       
7.000000             23.529412                 17.000000            4.000000       
7.000000             17.647059                 17.000000            3.000000       
7.000000             11.764706                 17.000000            2.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
7.000000             5.882353                  17.000000            1.000000       
8.000000             57.142857                 7.000000             4.000000       
8.000000             14.285714                 7.000000             1.000000       
8.000000             14.285714                 7.000000             1.000000       
8.000000             14.285714                 7.000000             1.000000       
9.000000             75.000000                 4.000000             3.000000       
9.000000             25.000000                 4.000000             1.000000       
10.000000            60.000000                 5.000000             3.000000       
10.000000            20.000000                 5.000000             1.000000       
10.000000            20.000000                 5.000000             1.000000       
11.000000            66.666667                 3.000000             2.000000       
11.000000            33.333333                 3.000000             1.000000       
12.000000            66.666667                 3.000000             2.000000       
12.000000            33.333333                 3.000000             1.000000       
13.000000            66.666667                 3.000000             2.000000       
13.000000            33.333333                 3.000000             1.000000       
14.000000            66.666667                 3.000000             2.000000       
14.000000            33.333333                 3.000000             1.000000       
15.000000            66.666667                 3.000000             2.000000       
15.000000            33.333333                 3.000000             1.000000       
16.000000            66.666667                 3.000000             2.000000       
16.000000            33.333333                 3.000000             1.000000       
17.000000            40.000000                 5.000000             2.000000       
17.000000            20.000000                 5.000000             1.000000       
17.000000            20.000000                 5.000000             1.000000       
17.000000            20.000000                 5.000000             1.000000       
18.000000            50.000000                 2.000000             1.000000       
18.000000            50.000000                 2.000000             1.000000       
19.000000            33.333333                 3.000000             1.000000       
19.000000            33.333333                 3.000000             1.000000       
19.000000            33.333333                 3.000000             1.000000       
20.000000            50.000000                 2.000000             1.000000       
20.000000            50.000000                 2.000000             1.000000       
21.000000            33.333333                 3.000000             1.000000       
21.000000            33.333333                 3.000000             1.000000       
21.000000            33.333333                 3.000000             1.000000       
22.000000            33.333333                 3.000000             1.000000       
22.000000            33.333333                 3.000000             1.000000       
22.000000            33.333333                 3.000000             1.000000       
23.000000            25.000000                 4.000000             1.000000       
23.000000            25.000000                 4.000000             1.000000       
23.000000            25.000000                 4.000000             1.000000       
23.000000            25.000000                 4.000000             1.000000       
24.000000            33.333333                 3.000000             1.000000       
24.000000            33.333333                 3.000000             1.000000       
24.000000            33.333333                 3.000000             1.000000       
25.000000            50.000000                 2.000000             1.000000       
25.000000            50.000000                 2.000000             1.000000       
26.000000            50.000000                 2.000000             1.000000       
26.000000            50.000000                 2.000000             1.000000       
27.000000            50.000000                 2.000000             1.000000       
27.000000            50.000000                 2.000000             1.000000       
28.000000            50.000000                 2.000000             1.000000       
28.000000            50.000000                 2.000000             1.000000       
29.000000            50.000000                 2.000000             1.000000       
29.000000            50.000000                 2.000000             1.000000       
30.000000            50.000000                 2.000000             1.000000       
30.000000            50.000000                 2.000000             1.000000       
31.000000            50.000000                 2.000000             1.000000       
31.000000            50.000000                 2.000000             1.000000       
32.000000            50.000000                 2.000000             1.000000       
32.000000            50.000000                 2.000000             1.000000       
33.000000            50.000000                 2.000000             1.000000       
33.000000            50.000000                 2.000000             1.000000       
34.000000            50.000000                 2.000000             1.000000       
34.000000            50.000000                 2.000000             1.000000       
35.000000            33.333333                 3.000000             1.000000       
35.000000            33.333333                 3.000000             1.000000       
35.000000            33.333333                 3.000000             1.000000       
36.000000            50.000000                 2.000000             1.000000       
36.000000            50.000000                 2.000000             1.000000       
37.000000            50.000000                 2.000000             1.000000       
37.000000            50.000000                 2.000000             1.000000       
38.000000            50.000000                 2.000000             1.000000       
38.000000            50.000000                 2.000000             1.000000       
39.000000            50.000000                 2.000000             1.000000       
39.000000            50.000000                 2.000000             1.000000       
40.000000            50.000000                 2.000000             1.000000       
40.000000            50.000000                 2.000000             1.000000       
41.000000            50.000000                 2.000000             1.000000       
41.000000            50.000000                 2.000000             1.000000       
42.000000            50.000000                 2.000000             1.000000       
42.000000            50.000000                 2.000000             1.000000       
43.000000            33.333333                 3.000000             1.000000       
43.000000            33.333333                 3.000000             1.000000       
43.000000            33.333333                 3.000000             1.000000       
44.000000            50.000000                 2.000000             1.000000       
44.000000            50.000000                 2.000000             1.000000       
45.000000            50.000000                 2.000000             1.000000       
45.000000            50.000000                 2.000000             1.000000       
46.000000            33.333333                 3.000000             1.000000       
46.000000            33.333333                 3.000000             1.000000       
46.000000            33.333333                 3.000000             1.000000       
47.000000            33.333333                 3.000000             1.000000       
47.000000            33.333333                 3.000000             1.000000       
47.000000            33.333333                 3.000000             1.000000       
48.000000            50.000000                 2.000000             1.000000       
48.000000            50.000000                 2.000000             1.000000       
49.000000            50.000000                 2.000000             1.000000       
49.000000            50.000000                 2.000000             1.000000       
50.000000            50.000000                 2.000000             1.000000       
50.000000            50.000000                 2.000000             1.000000       
51.000000            50.000000                 2.000000             1.000000       
51.000000            50.000000                 2.000000             1.000000       
52.000000            50.000000                 2.000000             1.000000       
52.000000            50.000000                 2.000000             1.000000       
53.000000            50.000000                 2.000000             1.000000       
53.000000            50.000000                 2.000000             1.000000       
54.000000            33.333333                 3.000000             1.000000       
54.000000            33.333333                 3.000000             1.000000       
54.000000            33.333333                 3.000000             1.000000       
55.000000            33.333333                 3.000000             1.000000       
55.000000            33.333333                 3.000000             1.000000       
55.000000            33.333333                 3.000000             1.000000       
56.000000            50.000000                 2.000000             1.000000       
56.000000            50.000000                 2.000000             1.000000       
57.000000            25.000000                 4.000000             1.000000       
57.000000            25.000000                 4.000000             1.000000       
57.000000            25.000000                 4.000000             1.000000       
57.000000            25.000000                 4.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
