Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             99.925466                 4025.000000          4022.000000    
1.000000             0.024845                  4025.000000          1.000000       
1.000000             0.024845                  4025.000000          1.000000       
1.000000             0.024845                  4025.000000          1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
