Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             31.738035                 397.000000           126.000000     
1.000000             17.128463                 397.000000           68.000000      
1.000000             8.312343                  397.000000           33.000000      
1.000000             7.556675                  397.000000           30.000000      
1.000000             5.289673                  397.000000           21.000000      
1.000000             4.534005                  397.000000           18.000000      
1.000000             4.534005                  397.000000           18.000000      
1.000000             2.267003                  397.000000           9.000000       
1.000000             1.763224                  397.000000           7.000000       
1.000000             1.763224                  397.000000           7.000000       
1.000000             1.511335                  397.000000           6.000000       
1.000000             1.511335                  397.000000           6.000000       
1.000000             1.259446                  397.000000           5.000000       
1.000000             1.259446                  397.000000           5.000000       
1.000000             1.007557                  397.000000           4.000000       
1.000000             1.007557                  397.000000           4.000000       
1.000000             0.755668                  397.000000           3.000000       
1.000000             0.755668                  397.000000           3.000000       
1.000000             0.755668                  397.000000           3.000000       
1.000000             0.503778                  397.000000           2.000000       
1.000000             0.503778                  397.000000           2.000000       
1.000000             0.503778                  397.000000           2.000000       
1.000000             0.503778                  397.000000           2.000000       
1.000000             0.503778                  397.000000           2.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
1.000000             0.251889                  397.000000           1.000000       
2.000000             23.671498                 414.000000           98.000000      
2.000000             11.594203                 414.000000           48.000000      
2.000000             8.695652                  414.000000           36.000000      
2.000000             5.797101                  414.000000           24.000000      
2.000000             5.314010                  414.000000           22.000000      
2.000000             3.864734                  414.000000           16.000000      
2.000000             2.898551                  414.000000           12.000000      
2.000000             2.657005                  414.000000           11.000000      
2.000000             2.657005                  414.000000           11.000000      
2.000000             2.415459                  414.000000           10.000000      
2.000000             2.415459                  414.000000           10.000000      
2.000000             2.415459                  414.000000           10.000000      
2.000000             2.173913                  414.000000           9.000000       
2.000000             1.932367                  414.000000           8.000000       
2.000000             1.690821                  414.000000           7.000000       
2.000000             1.690821                  414.000000           7.000000       
2.000000             1.690821                  414.000000           7.000000       
2.000000             1.690821                  414.000000           7.000000       
2.000000             1.690821                  414.000000           7.000000       
2.000000             1.449275                  414.000000           6.000000       
2.000000             1.207729                  414.000000           5.000000       
2.000000             1.207729                  414.000000           5.000000       
2.000000             0.966184                  414.000000           4.000000       
2.000000             0.966184                  414.000000           4.000000       
2.000000             0.724638                  414.000000           3.000000       
2.000000             0.724638                  414.000000           3.000000       
2.000000             0.483092                  414.000000           2.000000       
2.000000             0.483092                  414.000000           2.000000       
2.000000             0.483092                  414.000000           2.000000       
2.000000             0.483092                  414.000000           2.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
2.000000             0.241546                  414.000000           1.000000       
3.000000             17.375887                 282.000000           49.000000      
3.000000             15.957447                 282.000000           45.000000      
3.000000             6.382979                  282.000000           18.000000      
3.000000             6.028369                  282.000000           17.000000      
3.000000             5.673759                  282.000000           16.000000      
3.000000             5.673759                  282.000000           16.000000      
3.000000             5.319149                  282.000000           15.000000      
3.000000             3.191489                  282.000000           9.000000       
3.000000             2.836879                  282.000000           8.000000       
3.000000             2.482270                  282.000000           7.000000       
3.000000             2.482270                  282.000000           7.000000       
3.000000             2.482270                  282.000000           7.000000       
3.000000             2.127660                  282.000000           6.000000       
3.000000             2.127660                  282.000000           6.000000       
3.000000             2.127660                  282.000000           6.000000       
3.000000             1.773050                  282.000000           5.000000       
3.000000             1.773050                  282.000000           5.000000       
3.000000             1.773050                  282.000000           5.000000       
3.000000             1.773050                  282.000000           5.000000       
3.000000             1.418440                  282.000000           4.000000       
3.000000             1.418440                  282.000000           4.000000       
3.000000             1.418440                  282.000000           4.000000       
3.000000             1.063830                  282.000000           3.000000       
3.000000             0.709220                  282.000000           2.000000       
3.000000             0.709220                  282.000000           2.000000       
3.000000             0.709220                  282.000000           2.000000       
3.000000             0.709220                  282.000000           2.000000       
3.000000             0.354610                  282.000000           1.000000       
3.000000             0.354610                  282.000000           1.000000       
