Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             31.954023                 435.000000           139.000000     
1.000000             15.632184                 435.000000           68.000000      
1.000000             8.275862                  435.000000           36.000000      
1.000000             7.126437                  435.000000           31.000000      
1.000000             6.436782                  435.000000           28.000000      
1.000000             5.287356                  435.000000           23.000000      
1.000000             4.137931                  435.000000           18.000000      
1.000000             3.218391                  435.000000           14.000000      
1.000000             2.528736                  435.000000           11.000000      
1.000000             2.528736                  435.000000           11.000000      
1.000000             1.839080                  435.000000           8.000000       
1.000000             1.839080                  435.000000           8.000000       
1.000000             1.609195                  435.000000           7.000000       
1.000000             1.379310                  435.000000           6.000000       
1.000000             0.919540                  435.000000           4.000000       
1.000000             0.919540                  435.000000           4.000000       
1.000000             0.459770                  435.000000           2.000000       
1.000000             0.459770                  435.000000           2.000000       
1.000000             0.459770                  435.000000           2.000000       
1.000000             0.459770                  435.000000           2.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
1.000000             0.229885                  435.000000           1.000000       
2.000000             25.570776                 438.000000           112.000000     
2.000000             16.438356                 438.000000           72.000000      
2.000000             11.643836                 438.000000           51.000000      
2.000000             9.360731                  438.000000           41.000000      
2.000000             9.360731                  438.000000           41.000000      
2.000000             6.164384                  438.000000           27.000000      
2.000000             5.936073                  438.000000           26.000000      
2.000000             2.054795                  438.000000           9.000000       
2.000000             2.054795                  438.000000           9.000000       
2.000000             1.598174                  438.000000           7.000000       
2.000000             1.369863                  438.000000           6.000000       
2.000000             1.369863                  438.000000           6.000000       
2.000000             1.141553                  438.000000           5.000000       
2.000000             0.684932                  438.000000           3.000000       
2.000000             0.684932                  438.000000           3.000000       
2.000000             0.684932                  438.000000           3.000000       
2.000000             0.456621                  438.000000           2.000000       
2.000000             0.456621                  438.000000           2.000000       
2.000000             0.456621                  438.000000           2.000000       
2.000000             0.456621                  438.000000           2.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
2.000000             0.228311                  438.000000           1.000000       
3.000000             32.417582                 182.000000           59.000000      
3.000000             29.120879                 182.000000           53.000000      
3.000000             13.736264                 182.000000           25.000000      
3.000000             7.142857                  182.000000           13.000000      
3.000000             4.945055                  182.000000           9.000000       
3.000000             4.395604                  182.000000           8.000000       
3.000000             3.296703                  182.000000           6.000000       
3.000000             1.648352                  182.000000           3.000000       
3.000000             1.098901                  182.000000           2.000000       
3.000000             1.098901                  182.000000           2.000000       
3.000000             0.549451                  182.000000           1.000000       
3.000000             0.549451                  182.000000           1.000000       
4.000000             22.348485                 264.000000           59.000000      
4.000000             15.530303                 264.000000           41.000000      
4.000000             11.363636                 264.000000           30.000000      
4.000000             10.227273                 264.000000           27.000000      
4.000000             7.954545                  264.000000           21.000000      
4.000000             5.681818                  264.000000           15.000000      
4.000000             3.787879                  264.000000           10.000000      
4.000000             3.409091                  264.000000           9.000000       
4.000000             3.030303                  264.000000           8.000000       
4.000000             2.651515                  264.000000           7.000000       
4.000000             1.515152                  264.000000           4.000000       
4.000000             1.515152                  264.000000           4.000000       
4.000000             1.515152                  264.000000           4.000000       
4.000000             1.136364                  264.000000           3.000000       
4.000000             1.136364                  264.000000           3.000000       
4.000000             1.136364                  264.000000           3.000000       
4.000000             1.136364                  264.000000           3.000000       
4.000000             0.757576                  264.000000           2.000000       
4.000000             0.757576                  264.000000           2.000000       
4.000000             0.757576                  264.000000           2.000000       
4.000000             0.757576                  264.000000           2.000000       
4.000000             0.378788                  264.000000           1.000000       
4.000000             0.378788                  264.000000           1.000000       
4.000000             0.378788                  264.000000           1.000000       
4.000000             0.378788                  264.000000           1.000000       
4.000000             0.378788                  264.000000           1.000000       
5.000000             24.390244                 205.000000           50.000000      
5.000000             14.634146                 205.000000           30.000000      
5.000000             9.756098                  205.000000           20.000000      
5.000000             6.341463                  205.000000           13.000000      
5.000000             6.341463                  205.000000           13.000000      
5.000000             5.853659                  205.000000           12.000000      
5.000000             5.365854                  205.000000           11.000000      
5.000000             4.878049                  205.000000           10.000000      
5.000000             4.878049                  205.000000           10.000000      
5.000000             2.926829                  205.000000           6.000000       
5.000000             2.439024                  205.000000           5.000000       
5.000000             1.951220                  205.000000           4.000000       
5.000000             1.463415                  205.000000           3.000000       
5.000000             1.463415                  205.000000           3.000000       
5.000000             0.975610                  205.000000           2.000000       
5.000000             0.975610                  205.000000           2.000000       
5.000000             0.975610                  205.000000           2.000000       
5.000000             0.975610                  205.000000           2.000000       
5.000000             0.487805                  205.000000           1.000000       
5.000000             0.487805                  205.000000           1.000000       
5.000000             0.487805                  205.000000           1.000000       
5.000000             0.487805                  205.000000           1.000000       
5.000000             0.487805                  205.000000           1.000000       
5.000000             0.487805                  205.000000           1.000000       
5.000000             0.487805                  205.000000           1.000000       
6.000000             29.054054                 148.000000           43.000000      
6.000000             20.270270                 148.000000           30.000000      
6.000000             15.540541                 148.000000           23.000000      
6.000000             8.783784                  148.000000           13.000000      
6.000000             4.729730                  148.000000           7.000000       
6.000000             4.729730                  148.000000           7.000000       
6.000000             3.378378                  148.000000           5.000000       
6.000000             2.702703                  148.000000           4.000000       
6.000000             2.027027                  148.000000           3.000000       
6.000000             1.351351                  148.000000           2.000000       
6.000000             1.351351                  148.000000           2.000000       
6.000000             1.351351                  148.000000           2.000000       
6.000000             0.675676                  148.000000           1.000000       
6.000000             0.675676                  148.000000           1.000000       
6.000000             0.675676                  148.000000           1.000000       
6.000000             0.675676                  148.000000           1.000000       
6.000000             0.675676                  148.000000           1.000000       
6.000000             0.675676                  148.000000           1.000000       
6.000000             0.675676                  148.000000           1.000000       
7.000000             20.218579                 183.000000           37.000000      
7.000000             15.846995                 183.000000           29.000000      
7.000000             14.754098                 183.000000           27.000000      
7.000000             6.010929                  183.000000           11.000000      
7.000000             6.010929                  183.000000           11.000000      
7.000000             4.371585                  183.000000           8.000000       
7.000000             4.371585                  183.000000           8.000000       
7.000000             3.825137                  183.000000           7.000000       
7.000000             3.825137                  183.000000           7.000000       
7.000000             3.278689                  183.000000           6.000000       
7.000000             2.732240                  183.000000           5.000000       
7.000000             2.185792                  183.000000           4.000000       
7.000000             2.185792                  183.000000           4.000000       
7.000000             1.092896                  183.000000           2.000000       
7.000000             1.092896                  183.000000           2.000000       
7.000000             1.092896                  183.000000           2.000000       
7.000000             1.092896                  183.000000           2.000000       
7.000000             1.092896                  183.000000           2.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
7.000000             0.546448                  183.000000           1.000000       
8.000000             22.147651                 149.000000           33.000000      
8.000000             18.120805                 149.000000           27.000000      
8.000000             14.093960                 149.000000           21.000000      
8.000000             11.409396                 149.000000           17.000000      
8.000000             6.711409                  149.000000           10.000000      
8.000000             6.040268                  149.000000           9.000000       
8.000000             4.697987                  149.000000           7.000000       
8.000000             2.684564                  149.000000           4.000000       
8.000000             2.013423                  149.000000           3.000000       
8.000000             2.013423                  149.000000           3.000000       
8.000000             1.342282                  149.000000           2.000000       
8.000000             1.342282                  149.000000           2.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
8.000000             0.671141                  149.000000           1.000000       
9.000000             41.935484                 62.000000            26.000000      
9.000000             24.193548                 62.000000            15.000000      
9.000000             9.677419                  62.000000            6.000000       
9.000000             8.064516                  62.000000            5.000000       
9.000000             6.451613                  62.000000            4.000000       
9.000000             6.451613                  62.000000            4.000000       
9.000000             3.225806                  62.000000            2.000000       
10.000000            35.937500                 64.000000            23.000000      
10.000000            18.750000                 64.000000            12.000000      
10.000000            14.062500                 64.000000            9.000000       
10.000000            10.937500                 64.000000            7.000000       
10.000000            6.250000                  64.000000            4.000000       
10.000000            6.250000                  64.000000            4.000000       
10.000000            3.125000                  64.000000            2.000000       
10.000000            1.562500                  64.000000            1.000000       
10.000000            1.562500                  64.000000            1.000000       
10.000000            1.562500                  64.000000            1.000000       
11.000000            35.555556                 45.000000            16.000000      
11.000000            28.888889                 45.000000            13.000000      
11.000000            8.888889                  45.000000            4.000000       
11.000000            6.666667                  45.000000            3.000000       
11.000000            4.444444                  45.000000            2.000000       
11.000000            4.444444                  45.000000            2.000000       
11.000000            4.444444                  45.000000            2.000000       
11.000000            2.222222                  45.000000            1.000000       
11.000000            2.222222                  45.000000            1.000000       
11.000000            2.222222                  45.000000            1.000000       
12.000000            23.188406                 69.000000            16.000000      
12.000000            23.188406                 69.000000            16.000000      
12.000000            21.739130                 69.000000            15.000000      
12.000000            20.289855                 69.000000            14.000000      
12.000000            4.347826                  69.000000            3.000000       
12.000000            2.898551                  69.000000            2.000000       
12.000000            2.898551                  69.000000            2.000000       
12.000000            1.449275                  69.000000            1.000000       
13.000000            26.315789                 57.000000            15.000000      
13.000000            19.298246                 57.000000            11.000000      
13.000000            15.789474                 57.000000            9.000000       
13.000000            12.280702                 57.000000            7.000000       
13.000000            8.771930                  57.000000            5.000000       
13.000000            3.508772                  57.000000            2.000000       
13.000000            3.508772                  57.000000            2.000000       
13.000000            1.754386                  57.000000            1.000000       
13.000000            1.754386                  57.000000            1.000000       
13.000000            1.754386                  57.000000            1.000000       
13.000000            1.754386                  57.000000            1.000000       
13.000000            1.754386                  57.000000            1.000000       
13.000000            1.754386                  57.000000            1.000000       
14.000000            28.571429                 42.000000            12.000000      
14.000000            23.809524                 42.000000            10.000000      
14.000000            21.428571                 42.000000            9.000000       
14.000000            7.142857                  42.000000            3.000000       
14.000000            7.142857                  42.000000            3.000000       
14.000000            4.761905                  42.000000            2.000000       
14.000000            2.380952                  42.000000            1.000000       
14.000000            2.380952                  42.000000            1.000000       
14.000000            2.380952                  42.000000            1.000000       
15.000000            46.153846                 26.000000            12.000000      
15.000000            7.692308                  26.000000            2.000000       
15.000000            7.692308                  26.000000            2.000000       
15.000000            7.692308                  26.000000            2.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
15.000000            3.846154                  26.000000            1.000000       
16.000000            22.222222                 54.000000            12.000000      
16.000000            16.666667                 54.000000            9.000000       
16.000000            16.666667                 54.000000            9.000000       
16.000000            12.962963                 54.000000            7.000000       
16.000000            9.259259                  54.000000            5.000000       
16.000000            9.259259                  54.000000            5.000000       
16.000000            3.703704                  54.000000            2.000000       
16.000000            1.851852                  54.000000            1.000000       
16.000000            1.851852                  54.000000            1.000000       
16.000000            1.851852                  54.000000            1.000000       
16.000000            1.851852                  54.000000            1.000000       
16.000000            1.851852                  54.000000            1.000000       
17.000000            36.363636                 33.000000            12.000000      
17.000000            21.212121                 33.000000            7.000000       
17.000000            9.090909                  33.000000            3.000000       
17.000000            6.060606                  33.000000            2.000000       
17.000000            6.060606                  33.000000            2.000000       
17.000000            6.060606                  33.000000            2.000000       
17.000000            3.030303                  33.000000            1.000000       
17.000000            3.030303                  33.000000            1.000000       
17.000000            3.030303                  33.000000            1.000000       
17.000000            3.030303                  33.000000            1.000000       
