Dataset Size: 4032                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             79.956427                 2295.000000          1835.000000    
1.000000             1.132898                  2295.000000          26.000000      
1.000000             1.132898                  2295.000000          26.000000      
1.000000             0.871460                  2295.000000          20.000000      
1.000000             0.871460                  2295.000000          20.000000      
1.000000             0.827887                  2295.000000          19.000000      
1.000000             0.827887                  2295.000000          19.000000      
1.000000             0.784314                  2295.000000          18.000000      
1.000000             0.697168                  2295.000000          16.000000      
1.000000             0.610022                  2295.000000          14.000000      
1.000000             0.566449                  2295.000000          13.000000      
1.000000             0.566449                  2295.000000          13.000000      
1.000000             0.566449                  2295.000000          13.000000      
1.000000             0.522876                  2295.000000          12.000000      
1.000000             0.522876                  2295.000000          12.000000      
1.000000             0.479303                  2295.000000          11.000000      
1.000000             0.479303                  2295.000000          11.000000      
1.000000             0.479303                  2295.000000          11.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.435730                  2295.000000          10.000000      
1.000000             0.392157                  2295.000000          9.000000       
1.000000             0.392157                  2295.000000          9.000000       
1.000000             0.348584                  2295.000000          8.000000       
1.000000             0.305011                  2295.000000          7.000000       
1.000000             0.305011                  2295.000000          7.000000       
1.000000             0.305011                  2295.000000          7.000000       
1.000000             0.305011                  2295.000000          7.000000       
1.000000             0.261438                  2295.000000          6.000000       
1.000000             0.217865                  2295.000000          5.000000       
1.000000             0.217865                  2295.000000          5.000000       
1.000000             0.174292                  2295.000000          4.000000       
1.000000             0.174292                  2295.000000          4.000000       
1.000000             0.130719                  2295.000000          3.000000       
1.000000             0.130719                  2295.000000          3.000000       
1.000000             0.130719                  2295.000000          3.000000       
1.000000             0.130719                  2295.000000          3.000000       
1.000000             0.130719                  2295.000000          3.000000       
1.000000             0.130719                  2295.000000          3.000000       
1.000000             0.087146                  2295.000000          2.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
1.000000             0.043573                  2295.000000          1.000000       
2.000000             63.829787                 47.000000            30.000000      
2.000000             23.404255                 47.000000            11.000000      
2.000000             6.382979                  47.000000            3.000000       
2.000000             2.127660                  47.000000            1.000000       
2.000000             2.127660                  47.000000            1.000000       
2.000000             2.127660                  47.000000            1.000000       
3.000000             78.787879                 33.000000            26.000000      
3.000000             18.181818                 33.000000            6.000000       
3.000000             3.030303                  33.000000            1.000000       
4.000000             65.714286                 35.000000            23.000000      
4.000000             14.285714                 35.000000            5.000000       
4.000000             8.571429                  35.000000            3.000000       
4.000000             8.571429                  35.000000            3.000000       
4.000000             2.857143                  35.000000            1.000000       
5.000000             51.162791                 43.000000            22.000000      
5.000000             32.558140                 43.000000            14.000000      
5.000000             9.302326                  43.000000            4.000000       
5.000000             4.651163                  43.000000            2.000000       
5.000000             2.325581                  43.000000            1.000000       
6.000000             48.780488                 41.000000            20.000000      
6.000000             41.463415                 41.000000            17.000000      
6.000000             4.878049                  41.000000            2.000000       
6.000000             4.878049                  41.000000            2.000000       
7.000000             74.074074                 27.000000            20.000000      
7.000000             25.925926                 27.000000            7.000000       
8.000000             90.476190                 21.000000            19.000000      
8.000000             4.761905                  21.000000            1.000000       
8.000000             4.761905                  21.000000            1.000000       
9.000000             84.210526                 19.000000            16.000000      
9.000000             15.789474                 19.000000            3.000000       
10.000000            55.555556                 27.000000            15.000000      
10.000000            22.222222                 27.000000            6.000000       
10.000000            22.222222                 27.000000            6.000000       
11.000000            59.090909                 22.000000            13.000000      
11.000000            27.272727                 22.000000            6.000000       
11.000000            13.636364                 22.000000            3.000000       
12.000000            76.470588                 17.000000            13.000000      
12.000000            23.529412                 17.000000            4.000000       
13.000000            61.904762                 21.000000            13.000000      
13.000000            33.333333                 21.000000            7.000000       
13.000000            4.761905                  21.000000            1.000000       
14.000000            57.142857                 21.000000            12.000000      
14.000000            38.095238                 21.000000            8.000000       
14.000000            4.761905                  21.000000            1.000000       
15.000000            78.571429                 14.000000            11.000000      
15.000000            21.428571                 14.000000            3.000000       
16.000000            91.666667                 12.000000            11.000000      
16.000000            8.333333                  12.000000            1.000000       
17.000000            57.894737                 19.000000            11.000000      
17.000000            21.052632                 19.000000            4.000000       
17.000000            15.789474                 19.000000            3.000000       
17.000000            5.263158                  19.000000            1.000000       
18.000000            32.258065                 31.000000            10.000000      
18.000000            29.032258                 31.000000            9.000000       
18.000000            25.806452                 31.000000            8.000000       
18.000000            12.903226                 31.000000            4.000000       
19.000000            71.428571                 14.000000            10.000000      
19.000000            14.285714                 14.000000            2.000000       
19.000000            14.285714                 14.000000            2.000000       
20.000000            71.428571                 14.000000            10.000000      
20.000000            14.285714                 14.000000            2.000000       
20.000000            14.285714                 14.000000            2.000000       
21.000000            81.818182                 11.000000            9.000000       
21.000000            18.181818                 11.000000            2.000000       
22.000000            81.818182                 11.000000            9.000000       
22.000000            9.090909                  11.000000            1.000000       
22.000000            9.090909                  11.000000            1.000000       
23.000000            64.285714                 14.000000            9.000000       
23.000000            14.285714                 14.000000            2.000000       
23.000000            14.285714                 14.000000            2.000000       
23.000000            7.142857                  14.000000            1.000000       
24.000000            37.500000                 24.000000            9.000000       
24.000000            29.166667                 24.000000            7.000000       
24.000000            25.000000                 24.000000            6.000000       
24.000000            8.333333                  24.000000            2.000000       
25.000000            53.333333                 15.000000            8.000000       
25.000000            26.666667                 15.000000            4.000000       
25.000000            13.333333                 15.000000            2.000000       
