Dataset Size: 4621                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             80.514706                 1632.000000          1314.000000    
1.000000             4.901961                  1632.000000          80.000000      
1.000000             1.164216                  1632.000000          19.000000      
1.000000             1.041667                  1632.000000          17.000000      
1.000000             0.857843                  1632.000000          14.000000      
1.000000             0.857843                  1632.000000          14.000000      
1.000000             0.796569                  1632.000000          13.000000      
1.000000             0.735294                  1632.000000          12.000000      
1.000000             0.674020                  1632.000000          11.000000      
1.000000             0.674020                  1632.000000          11.000000      
1.000000             0.674020                  1632.000000          11.000000      
1.000000             0.612745                  1632.000000          10.000000      
1.000000             0.551471                  1632.000000          9.000000       
1.000000             0.551471                  1632.000000          9.000000       
1.000000             0.490196                  1632.000000          8.000000       
1.000000             0.428922                  1632.000000          7.000000       
1.000000             0.367647                  1632.000000          6.000000       
1.000000             0.245098                  1632.000000          4.000000       
1.000000             0.183824                  1632.000000          3.000000       
1.000000             0.183824                  1632.000000          3.000000       
1.000000             0.183824                  1632.000000          3.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.122549                  1632.000000          2.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
1.000000             0.061275                  1632.000000          1.000000       
2.000000             65.801527                 655.000000           431.000000     
2.000000             12.366412                 655.000000           81.000000      
2.000000             8.244275                  655.000000           54.000000      
2.000000             3.358779                  655.000000           22.000000      
2.000000             1.221374                  655.000000           8.000000       
2.000000             1.068702                  655.000000           7.000000       
2.000000             1.068702                  655.000000           7.000000       
2.000000             0.916031                  655.000000           6.000000       
2.000000             0.916031                  655.000000           6.000000       
2.000000             0.610687                  655.000000           4.000000       
2.000000             0.305344                  655.000000           2.000000       
2.000000             0.305344                  655.000000           2.000000       
2.000000             0.305344                  655.000000           2.000000       
2.000000             0.305344                  655.000000           2.000000       
2.000000             0.305344                  655.000000           2.000000       
2.000000             0.305344                  655.000000           2.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
2.000000             0.152672                  655.000000           1.000000       
3.000000             45.859873                 157.000000           72.000000      
3.000000             32.484076                 157.000000           51.000000      
3.000000             7.006369                  157.000000           11.000000      
3.000000             3.821656                  157.000000           6.000000       
3.000000             3.821656                  157.000000           6.000000       
3.000000             1.273885                  157.000000           2.000000       
3.000000             1.273885                  157.000000           2.000000       
3.000000             1.273885                  157.000000           2.000000       
3.000000             1.273885                  157.000000           2.000000       
3.000000             0.636943                  157.000000           1.000000       
3.000000             0.636943                  157.000000           1.000000       
3.000000             0.636943                  157.000000           1.000000       
4.000000             61.111111                 108.000000           66.000000      
4.000000             8.333333                  108.000000           9.000000       
4.000000             7.407407                  108.000000           8.000000       
4.000000             6.481481                  108.000000           7.000000       
4.000000             6.481481                  108.000000           7.000000       
4.000000             2.777778                  108.000000           3.000000       
4.000000             1.851852                  108.000000           2.000000       
4.000000             0.925926                  108.000000           1.000000       
4.000000             0.925926                  108.000000           1.000000       
4.000000             0.925926                  108.000000           1.000000       
4.000000             0.925926                  108.000000           1.000000       
4.000000             0.925926                  108.000000           1.000000       
4.000000             0.925926                  108.000000           1.000000       
5.000000             91.666667                 36.000000            33.000000      
5.000000             8.333333                  36.000000            3.000000       
6.000000             91.428571                 35.000000            32.000000      
6.000000             2.857143                  35.000000            1.000000       
6.000000             2.857143                  35.000000            1.000000       
6.000000             2.857143                  35.000000            1.000000       
7.000000             53.333333                 60.000000            32.000000      
7.000000             18.333333                 60.000000            11.000000      
7.000000             11.666667                 60.000000            7.000000       
7.000000             10.000000                 60.000000            6.000000       
7.000000             1.666667                  60.000000            1.000000       
7.000000             1.666667                  60.000000            1.000000       
7.000000             1.666667                  60.000000            1.000000       
7.000000             1.666667                  60.000000            1.000000       
8.000000             56.140351                 57.000000            32.000000      
8.000000             17.543860                 57.000000            10.000000      
8.000000             17.543860                 57.000000            10.000000      
8.000000             3.508772                  57.000000            2.000000       
8.000000             1.754386                  57.000000            1.000000       
8.000000             1.754386                  57.000000            1.000000       
8.000000             1.754386                  57.000000            1.000000       
9.000000             88.571429                 35.000000            31.000000      
9.000000             8.571429                  35.000000            3.000000       
9.000000             2.857143                  35.000000            1.000000       
10.000000            88.235294                 34.000000            30.000000      
10.000000            5.882353                  34.000000            2.000000       
10.000000            2.941176                  34.000000            1.000000       
10.000000            2.941176                  34.000000            1.000000       
11.000000            66.666667                 45.000000            30.000000      
11.000000            28.888889                 45.000000            13.000000      
11.000000            4.444444                  45.000000            2.000000       
12.000000            85.294118                 34.000000            29.000000      
12.000000            8.823529                  34.000000            3.000000       
12.000000            2.941176                  34.000000            1.000000       
12.000000            2.941176                  34.000000            1.000000       
13.000000            85.294118                 34.000000            29.000000      
13.000000            8.823529                  34.000000            3.000000       
13.000000            2.941176                  34.000000            1.000000       
13.000000            2.941176                  34.000000            1.000000       
14.000000            87.878788                 33.000000            29.000000      
14.000000            6.060606                  33.000000            2.000000       
14.000000            3.030303                  33.000000            1.000000       
14.000000            3.030303                  33.000000            1.000000       
15.000000            87.878788                 33.000000            29.000000      
15.000000            9.090909                  33.000000            3.000000       
15.000000            3.030303                  33.000000            1.000000       
16.000000            84.848485                 33.000000            28.000000      
16.000000            9.090909                  33.000000            3.000000       
16.000000            3.030303                  33.000000            1.000000       
16.000000            3.030303                  33.000000            1.000000       
17.000000            84.848485                 33.000000            28.000000      
17.000000            6.060606                  33.000000            2.000000       
17.000000            3.030303                  33.000000            1.000000       
17.000000            3.030303                  33.000000            1.000000       
17.000000            3.030303                  33.000000            1.000000       
18.000000            81.818182                 33.000000            27.000000      
18.000000            9.090909                  33.000000            3.000000       
18.000000            6.060606                  33.000000            2.000000       
18.000000            3.030303                  33.000000            1.000000       
19.000000            84.375000                 32.000000            27.000000      
19.000000            9.375000                  32.000000            3.000000       
19.000000            3.125000                  32.000000            1.000000       
19.000000            3.125000                  32.000000            1.000000       
20.000000            87.096774                 31.000000            27.000000      
20.000000            9.677419                  31.000000            3.000000       
20.000000            3.225806                  31.000000            1.000000       
21.000000            84.375000                 32.000000            27.000000      
21.000000            9.375000                  32.000000            3.000000       
21.000000            3.125000                  32.000000            1.000000       
21.000000            3.125000                  32.000000            1.000000       
22.000000            81.818182                 33.000000            27.000000      
22.000000            6.060606                  33.000000            2.000000       
22.000000            6.060606                  33.000000            2.000000       
22.000000            3.030303                  33.000000            1.000000       
22.000000            3.030303                  33.000000            1.000000       
23.000000            64.285714                 42.000000            27.000000      
23.000000            30.952381                 42.000000            13.000000      
23.000000            2.380952                  42.000000            1.000000       
23.000000            2.380952                  42.000000            1.000000       
24.000000            81.250000                 32.000000            26.000000      
24.000000            9.375000                  32.000000            3.000000       
24.000000            6.250000                  32.000000            2.000000       
24.000000            3.125000                  32.000000            1.000000       
25.000000            81.250000                 32.000000            26.000000      
25.000000            9.375000                  32.000000            3.000000       
25.000000            3.125000                  32.000000            1.000000       
25.000000            3.125000                  32.000000            1.000000       
25.000000            3.125000                  32.000000            1.000000       
26.000000            83.870968                 31.000000            26.000000      
26.000000            9.677419                  31.000000            3.000000       
26.000000            3.225806                  31.000000            1.000000       
26.000000            3.225806                  31.000000            1.000000       
27.000000            83.870968                 31.000000            26.000000      
27.000000            9.677419                  31.000000            3.000000       
27.000000            3.225806                  31.000000            1.000000       
27.000000            3.225806                  31.000000            1.000000       
28.000000            65.000000                 40.000000            26.000000      
28.000000            15.000000                 40.000000            6.000000       
28.000000            10.000000                 40.000000            4.000000       
28.000000            5.000000                  40.000000            2.000000       
28.000000            2.500000                  40.000000            1.000000       
28.000000            2.500000                  40.000000            1.000000       
29.000000            63.414634                 41.000000            26.000000      
29.000000            24.390244                 41.000000            10.000000      
29.000000            4.878049                  41.000000            2.000000       
29.000000            2.439024                  41.000000            1.000000       
29.000000            2.439024                  41.000000            1.000000       
29.000000            2.439024                  41.000000            1.000000       
30.000000            78.125000                 32.000000            25.000000      
30.000000            9.375000                  32.000000            3.000000       
30.000000            6.250000                  32.000000            2.000000       
30.000000            3.125000                  32.000000            1.000000       
30.000000            3.125000                  32.000000            1.000000       
31.000000            80.645161                 31.000000            25.000000      
31.000000            6.451613                  31.000000            2.000000       
31.000000            6.451613                  31.000000            2.000000       
31.000000            3.225806                  31.000000            1.000000       
31.000000            3.225806                  31.000000            1.000000       
32.000000            67.567568                 37.000000            25.000000      
32.000000            13.513514                 37.000000            5.000000       
32.000000            13.513514                 37.000000            5.000000       
32.000000            2.702703                  37.000000            1.000000       
32.000000            2.702703                  37.000000            1.000000       
33.000000            77.419355                 31.000000            24.000000      
33.000000            9.677419                  31.000000            3.000000       
33.000000            6.451613                  31.000000            2.000000       
33.000000            3.225806                  31.000000            1.000000       
33.000000            3.225806                  31.000000            1.000000       
34.000000            77.419355                 31.000000            24.000000      
34.000000            9.677419                  31.000000            3.000000       
34.000000            6.451613                  31.000000            2.000000       
34.000000            3.225806                  31.000000            1.000000       
34.000000            3.225806                  31.000000            1.000000       
35.000000            60.000000                 40.000000            24.000000      
35.000000            15.000000                 40.000000            6.000000       
35.000000            10.000000                 40.000000            4.000000       
35.000000            7.500000                  40.000000            3.000000       
35.000000            2.500000                  40.000000            1.000000       
