Dataset Size: 4730                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             96.811512                 3544.000000          3431.000000    
1.000000             0.790068                  3544.000000          28.000000      
1.000000             0.451467                  3544.000000          16.000000      
1.000000             0.366817                  3544.000000          13.000000      
1.000000             0.197517                  3544.000000          7.000000       
1.000000             0.169300                  3544.000000          6.000000       
1.000000             0.169300                  3544.000000          6.000000       
1.000000             0.112867                  3544.000000          4.000000       
1.000000             0.084650                  3544.000000          3.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.056433                  3544.000000          2.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
1.000000             0.028217                  3544.000000          1.000000       
2.000000             89.811321                 530.000000           476.000000     
2.000000             5.471698                  530.000000           29.000000      
2.000000             0.754717                  530.000000           4.000000       
2.000000             0.566038                  530.000000           3.000000       
2.000000             0.566038                  530.000000           3.000000       
2.000000             0.566038                  530.000000           3.000000       
2.000000             0.377358                  530.000000           2.000000       
2.000000             0.377358                  530.000000           2.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
2.000000             0.188679                  530.000000           1.000000       
3.000000             91.534392                 189.000000           173.000000     
3.000000             7.936508                  189.000000           15.000000      
3.000000             0.529101                  189.000000           1.000000       
4.000000             89.080460                 174.000000           155.000000     
4.000000             6.321839                  174.000000           11.000000      
4.000000             3.448276                  174.000000           6.000000       
4.000000             0.574713                  174.000000           1.000000       
4.000000             0.574713                  174.000000           1.000000       
5.000000             87.500000                 8.000000             7.000000       
5.000000             12.500000                 8.000000             1.000000       
6.000000             66.666667                 9.000000             6.000000       
6.000000             11.111111                 9.000000             1.000000       
6.000000             11.111111                 9.000000             1.000000       
6.000000             11.111111                 9.000000             1.000000       
7.000000             85.714286                 7.000000             6.000000       
7.000000             14.285714                 7.000000             1.000000       
8.000000             83.333333                 6.000000             5.000000       
8.000000             16.666667                 6.000000             1.000000       
9.000000             80.000000                 5.000000             4.000000       
9.000000             20.000000                 5.000000             1.000000       
10.000000            75.000000                 4.000000             3.000000       
10.000000            25.000000                 4.000000             1.000000       
11.000000            50.000000                 4.000000             2.000000       
11.000000            25.000000                 4.000000             1.000000       
11.000000            25.000000                 4.000000             1.000000       
12.000000            50.000000                 4.000000             2.000000       
12.000000            50.000000                 4.000000             2.000000       
13.000000            66.666667                 3.000000             2.000000       
13.000000            33.333333                 3.000000             1.000000       
