Dataset Size: 4730                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             95.398609                 1869.000000          1783.000000    
1.000000             0.909577                  1869.000000          17.000000      
1.000000             0.856073                  1869.000000          16.000000      
1.000000             0.214018                  1869.000000          4.000000       
1.000000             0.214018                  1869.000000          4.000000       
1.000000             0.160514                  1869.000000          3.000000       
1.000000             0.160514                  1869.000000          3.000000       
1.000000             0.160514                  1869.000000          3.000000       
1.000000             0.107009                  1869.000000          2.000000       
1.000000             0.107009                  1869.000000          2.000000       
1.000000             0.107009                  1869.000000          2.000000       
1.000000             0.107009                  1869.000000          2.000000       
1.000000             0.107009                  1869.000000          2.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
1.000000             0.053505                  1869.000000          1.000000       
2.000000             92.648361                 1129.000000          1046.000000    
2.000000             2.745793                  1129.000000          31.000000      
2.000000             1.328609                  1129.000000          15.000000      
2.000000             0.531444                  1129.000000          6.000000       
2.000000             0.265722                  1129.000000          3.000000       
2.000000             0.265722                  1129.000000          3.000000       
2.000000             0.265722                  1129.000000          3.000000       
2.000000             0.177148                  1129.000000          2.000000       
2.000000             0.177148                  1129.000000          2.000000       
2.000000             0.177148                  1129.000000          2.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
2.000000             0.088574                  1129.000000          1.000000       
3.000000             88.721805                 931.000000           826.000000     
3.000000             3.222342                  931.000000           30.000000      
3.000000             1.718582                  931.000000           16.000000      
3.000000             0.859291                  931.000000           8.000000       
3.000000             0.644468                  931.000000           6.000000       
3.000000             0.429646                  931.000000           4.000000       
3.000000             0.322234                  931.000000           3.000000       
3.000000             0.322234                  931.000000           3.000000       
3.000000             0.322234                  931.000000           3.000000       
3.000000             0.214823                  931.000000           2.000000       
3.000000             0.214823                  931.000000           2.000000       
3.000000             0.214823                  931.000000           2.000000       
3.000000             0.214823                  931.000000           2.000000       
3.000000             0.214823                  931.000000           2.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
3.000000             0.107411                  931.000000           1.000000       
4.000000             89.285714                 560.000000           500.000000     
4.000000             3.035714                  560.000000           17.000000      
4.000000             0.714286                  560.000000           4.000000       
4.000000             0.714286                  560.000000           4.000000       
4.000000             0.535714                  560.000000           3.000000       
4.000000             0.535714                  560.000000           3.000000       
4.000000             0.535714                  560.000000           3.000000       
4.000000             0.535714                  560.000000           3.000000       
4.000000             0.357143                  560.000000           2.000000       
4.000000             0.357143                  560.000000           2.000000       
4.000000             0.357143                  560.000000           2.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
4.000000             0.178571                  560.000000           1.000000       
5.000000             66.666667                 9.000000             6.000000       
5.000000             22.222222                 9.000000             2.000000       
