Dataset Size: 5315                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             98.368835                 5211.000000          5126.000000    
1.000000             0.326233                  5211.000000          17.000000      
1.000000             0.211092                  5211.000000          11.000000      
1.000000             0.172712                  5211.000000          9.000000       
1.000000             0.153521                  5211.000000          8.000000       
1.000000             0.115141                  5211.000000          6.000000       
1.000000             0.057571                  5211.000000          3.000000       
1.000000             0.038380                  5211.000000          2.000000       
1.000000             0.038380                  5211.000000          2.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
1.000000             0.019190                  5211.000000          1.000000       
2.000000             76.190476                 21.000000            16.000000      
2.000000             14.285714                 21.000000            3.000000       
2.000000             4.761905                  21.000000            1.000000       
2.000000             4.761905                  21.000000            1.000000       
3.000000             92.307692                 13.000000            12.000000      
3.000000             7.692308                  13.000000            1.000000       
4.000000             72.727273                 11.000000            8.000000       
4.000000             9.090909                  11.000000            1.000000       
4.000000             9.090909                  11.000000            1.000000       
4.000000             9.090909                  11.000000            1.000000       
5.000000             85.714286                 7.000000             6.000000       
5.000000             14.285714                 7.000000             1.000000       
6.000000             66.666667                 3.000000             2.000000       
6.000000             33.333333                 3.000000             1.000000       
7.000000             50.000000                 2.000000             1.000000       
7.000000             50.000000                 2.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                9.000000             9.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
