Dataset Size: 10320                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             52.882704                 503.000000           266.000000     
1.000000             23.061630                 503.000000           116.000000     
1.000000             3.379722                  503.000000           17.000000      
1.000000             3.379722                  503.000000           17.000000      
1.000000             2.584493                  503.000000           13.000000      
1.000000             2.186879                  503.000000           11.000000      
1.000000             1.988072                  503.000000           10.000000      
1.000000             1.789264                  503.000000           9.000000       
1.000000             1.590457                  503.000000           8.000000       
1.000000             1.192843                  503.000000           6.000000       
1.000000             0.994036                  503.000000           5.000000       
1.000000             0.795229                  503.000000           4.000000       
1.000000             0.795229                  503.000000           4.000000       
1.000000             0.596421                  503.000000           3.000000       
1.000000             0.397614                  503.000000           2.000000       
1.000000             0.397614                  503.000000           2.000000       
1.000000             0.397614                  503.000000           2.000000       
1.000000             0.397614                  503.000000           2.000000       
1.000000             0.198807                  503.000000           1.000000       
1.000000             0.198807                  503.000000           1.000000       
1.000000             0.198807                  503.000000           1.000000       
1.000000             0.198807                  503.000000           1.000000       
1.000000             0.198807                  503.000000           1.000000       
1.000000             0.198807                  503.000000           1.000000       
2.000000             54.193548                 310.000000           168.000000     
2.000000             14.516129                 310.000000           45.000000      
2.000000             11.935484                 310.000000           37.000000      
2.000000             6.774194                  310.000000           21.000000      
2.000000             4.838710                  310.000000           15.000000      
2.000000             1.935484                  310.000000           6.000000       
2.000000             1.290323                  310.000000           4.000000       
2.000000             1.290323                  310.000000           4.000000       
2.000000             0.967742                  310.000000           3.000000       
2.000000             0.645161                  310.000000           2.000000       
2.000000             0.645161                  310.000000           2.000000       
2.000000             0.322581                  310.000000           1.000000       
2.000000             0.322581                  310.000000           1.000000       
2.000000             0.322581                  310.000000           1.000000       
3.000000             50.602410                 83.000000            42.000000      
3.000000             18.072289                 83.000000            15.000000      
3.000000             12.048193                 83.000000            10.000000      
3.000000             8.433735                  83.000000            7.000000       
3.000000             4.819277                  83.000000            4.000000       
3.000000             2.409639                  83.000000            2.000000       
3.000000             1.204819                  83.000000            1.000000       
3.000000             1.204819                  83.000000            1.000000       
3.000000             1.204819                  83.000000            1.000000       
4.000000             42.045455                 88.000000            37.000000      
4.000000             17.045455                 88.000000            15.000000      
4.000000             5.681818                  88.000000            5.000000       
4.000000             5.681818                  88.000000            5.000000       
4.000000             5.681818                  88.000000            5.000000       
4.000000             5.681818                  88.000000            5.000000       
4.000000             3.409091                  88.000000            3.000000       
4.000000             3.409091                  88.000000            3.000000       
4.000000             2.272727                  88.000000            2.000000       
4.000000             2.272727                  88.000000            2.000000       
4.000000             1.136364                  88.000000            1.000000       
4.000000             1.136364                  88.000000            1.000000       
4.000000             1.136364                  88.000000            1.000000       
4.000000             1.136364                  88.000000            1.000000       
4.000000             1.136364                  88.000000            1.000000       
4.000000             1.136364                  88.000000            1.000000       
5.000000             97.297297                 37.000000            36.000000      
5.000000             2.702703                  37.000000            1.000000       
6.000000             20.359281                 167.000000           34.000000      
6.000000             10.179641                 167.000000           17.000000      
6.000000             6.586826                  167.000000           11.000000      
6.000000             5.988024                  167.000000           10.000000      
6.000000             4.790419                  167.000000           8.000000       
6.000000             4.790419                  167.000000           8.000000       
6.000000             4.790419                  167.000000           8.000000       
6.000000             3.592814                  167.000000           6.000000       
6.000000             3.592814                  167.000000           6.000000       
6.000000             2.994012                  167.000000           5.000000       
6.000000             2.395210                  167.000000           4.000000       
6.000000             2.395210                  167.000000           4.000000       
6.000000             2.395210                  167.000000           4.000000       
6.000000             2.395210                  167.000000           4.000000       
6.000000             2.395210                  167.000000           4.000000       
6.000000             1.796407                  167.000000           3.000000       
6.000000             1.796407                  167.000000           3.000000       
6.000000             1.796407                  167.000000           3.000000       
6.000000             1.796407                  167.000000           3.000000       
6.000000             1.197605                  167.000000           2.000000       
6.000000             1.197605                  167.000000           2.000000       
6.000000             1.197605                  167.000000           2.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
6.000000             0.598802                  167.000000           1.000000       
7.000000             14.375000                 160.000000           23.000000      
7.000000             6.875000                  160.000000           11.000000      
7.000000             5.625000                  160.000000           9.000000       
7.000000             5.000000                  160.000000           8.000000       
7.000000             5.000000                  160.000000           8.000000       
7.000000             3.750000                  160.000000           6.000000       
7.000000             3.125000                  160.000000           5.000000       
7.000000             3.125000                  160.000000           5.000000       
7.000000             3.125000                  160.000000           5.000000       
7.000000             2.500000                  160.000000           4.000000       
7.000000             2.500000                  160.000000           4.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.875000                  160.000000           3.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             1.250000                  160.000000           2.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
7.000000             0.625000                  160.000000           1.000000       
8.000000             68.750000                 32.000000            22.000000      
8.000000             31.250000                 32.000000            10.000000      
9.000000             18.018018                 111.000000           20.000000      
9.000000             15.315315                 111.000000           17.000000      
9.000000             14.414414                 111.000000           16.000000      
9.000000             13.513514                 111.000000           15.000000      
9.000000             7.207207                  111.000000           8.000000       
9.000000             6.306306                  111.000000           7.000000       
9.000000             5.405405                  111.000000           6.000000       
9.000000             4.504505                  111.000000           5.000000       
9.000000             3.603604                  111.000000           4.000000       
9.000000             2.702703                  111.000000           3.000000       
9.000000             1.801802                  111.000000           2.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
9.000000             0.900901                  111.000000           1.000000       
