Dataset Size: 15831                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             92.001537                 13015.000000         11974.000000   
1.000000             2.358817                  13015.000000         307.000000     
1.000000             1.982328                  13015.000000         258.000000     
1.000000             0.998847                  13015.000000         130.000000     
1.000000             0.983481                  13015.000000         128.000000     
1.000000             0.545524                  13015.000000         71.000000      
1.000000             0.430273                  13015.000000         56.000000      
1.000000             0.161352                  13015.000000         21.000000      
1.000000             0.145985                  13015.000000         19.000000      
1.000000             0.145985                  13015.000000         19.000000      
1.000000             0.030734                  13015.000000         4.000000       
1.000000             0.023050                  13015.000000         3.000000       
1.000000             0.023050                  13015.000000         3.000000       
1.000000             0.015367                  13015.000000         2.000000       
1.000000             0.015367                  13015.000000         2.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
1.000000             0.007683                  13015.000000         1.000000       
2.000000             41.154329                 797.000000           328.000000     
2.000000             40.777917                 797.000000           325.000000     
2.000000             14.805521                 797.000000           118.000000     
2.000000             0.627353                  797.000000           5.000000       
2.000000             0.627353                  797.000000           5.000000       
2.000000             0.501882                  797.000000           4.000000       
2.000000             0.250941                  797.000000           2.000000       
2.000000             0.250941                  797.000000           2.000000       
2.000000             0.250941                  797.000000           2.000000       
2.000000             0.125471                  797.000000           1.000000       
2.000000             0.125471                  797.000000           1.000000       
2.000000             0.125471                  797.000000           1.000000       
2.000000             0.125471                  797.000000           1.000000       
2.000000             0.125471                  797.000000           1.000000       
2.000000             0.125471                  797.000000           1.000000       
3.000000             45.518453                 569.000000           259.000000     
3.000000             41.300527                 569.000000           235.000000     
3.000000             3.866432                  569.000000           22.000000      
3.000000             3.866432                  569.000000           22.000000      
3.000000             1.405975                  569.000000           8.000000       
3.000000             1.405975                  569.000000           8.000000       
3.000000             0.702988                  569.000000           4.000000       
3.000000             0.351494                  569.000000           2.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
3.000000             0.175747                  569.000000           1.000000       
4.000000             33.471933                 481.000000           161.000000     
4.000000             29.106029                 481.000000           140.000000     
4.000000             24.740125                 481.000000           119.000000     
4.000000             3.534304                  481.000000           17.000000      
4.000000             2.494802                  481.000000           12.000000      
4.000000             1.871102                  481.000000           9.000000       
4.000000             0.831601                  481.000000           4.000000       
4.000000             0.831601                  481.000000           4.000000       
4.000000             0.415800                  481.000000           2.000000       
4.000000             0.415800                  481.000000           2.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
4.000000             0.207900                  481.000000           1.000000       
5.000000             52.577320                 291.000000           153.000000     
5.000000             42.268041                 291.000000           123.000000     
5.000000             4.810997                  291.000000           14.000000      
5.000000             0.343643                  291.000000           1.000000       
6.000000             37.185930                 199.000000           74.000000      
6.000000             33.668342                 199.000000           67.000000      
6.000000             15.577889                 199.000000           31.000000      
6.000000             3.015075                  199.000000           6.000000       
6.000000             2.010050                  199.000000           4.000000       
6.000000             1.507538                  199.000000           3.000000       
6.000000             1.005025                  199.000000           2.000000       
6.000000             1.005025                  199.000000           2.000000       
6.000000             1.005025                  199.000000           2.000000       
6.000000             1.005025                  199.000000           2.000000       
