Dataset Size: 15833                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             75.008964                 5578.000000          4184.000000    
1.000000             4.983865                  5578.000000          278.000000     
1.000000             4.087487                  5578.000000          228.000000     
1.000000             3.800645                  5578.000000          212.000000     
1.000000             3.477949                  5578.000000          194.000000     
1.000000             2.187164                  5578.000000          122.000000     
1.000000             1.846540                  5578.000000          103.000000     
1.000000             1.810685                  5578.000000          101.000000     
1.000000             1.380423                  5578.000000          77.000000      
1.000000             0.860523                  5578.000000          48.000000      
1.000000             0.250986                  5578.000000          14.000000      
1.000000             0.089638                  5578.000000          5.000000       
1.000000             0.035855                  5578.000000          2.000000       
1.000000             0.035855                  5578.000000          2.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
1.000000             0.017928                  5578.000000          1.000000       
2.000000             58.000000                 1900.000000          1102.000000    
2.000000             13.105263                 1900.000000          249.000000     
2.000000             11.210526                 1900.000000          213.000000     
2.000000             5.947368                  1900.000000          113.000000     
2.000000             4.684211                  1900.000000          89.000000      
2.000000             2.789474                  1900.000000          53.000000      
2.000000             2.315789                  1900.000000          44.000000      
2.000000             0.894737                  1900.000000          17.000000      
2.000000             0.789474                  1900.000000          15.000000      
2.000000             0.157895                  1900.000000          3.000000       
2.000000             0.105263                  1900.000000          2.000000       
3.000000             55.400322                 1861.000000          1031.000000    
3.000000             16.012896                 1861.000000          298.000000     
3.000000             15.206878                 1861.000000          283.000000     
3.000000             5.265986                  1861.000000          98.000000      
3.000000             3.116604                  1861.000000          58.000000      
3.000000             1.719506                  1861.000000          32.000000      
3.000000             1.343364                  1861.000000          25.000000      
3.000000             0.752284                  1861.000000          14.000000      
3.000000             0.537346                  1861.000000          10.000000      
3.000000             0.376142                  1861.000000          7.000000       
3.000000             0.053735                  1861.000000          1.000000       
3.000000             0.053735                  1861.000000          1.000000       
3.000000             0.053735                  1861.000000          1.000000       
3.000000             0.053735                  1861.000000          1.000000       
3.000000             0.053735                  1861.000000          1.000000       
4.000000             46.673142                 2059.000000          961.000000     
4.000000             15.735794                 2059.000000          324.000000     
4.000000             12.190384                 2059.000000          251.000000     
4.000000             11.170471                 2059.000000          230.000000     
4.000000             4.905294                  2059.000000          101.000000     
4.000000             3.399709                  2059.000000          70.000000      
4.000000             2.525498                  2059.000000          52.000000      
4.000000             1.359883                  2059.000000          28.000000      
4.000000             0.777076                  2059.000000          16.000000      
4.000000             0.437105                  2059.000000          9.000000       
4.000000             0.291404                  2059.000000          6.000000       
4.000000             0.145702                  2059.000000          3.000000       
4.000000             0.097135                  2059.000000          2.000000       
4.000000             0.048567                  2059.000000          1.000000       
4.000000             0.048567                  2059.000000          1.000000       
4.000000             0.048567                  2059.000000          1.000000       
4.000000             0.048567                  2059.000000          1.000000       
4.000000             0.048567                  2059.000000          1.000000       
4.000000             0.048567                  2059.000000          1.000000       
5.000000             49.443758                 809.000000           400.000000     
5.000000             26.576020                 809.000000           215.000000     
5.000000             15.327565                 809.000000           124.000000     
5.000000             6.551298                  809.000000           53.000000      
5.000000             0.988875                  809.000000           8.000000       
5.000000             0.494438                  809.000000           4.000000       
5.000000             0.370828                  809.000000           3.000000       
5.000000             0.123609                  809.000000           1.000000       
5.000000             0.123609                  809.000000           1.000000       
6.000000             76.457883                 463.000000           354.000000     
6.000000             14.038877                 463.000000           65.000000      
6.000000             4.103672                  463.000000           19.000000      
6.000000             2.375810                  463.000000           11.000000      
6.000000             1.727862                  463.000000           8.000000       
6.000000             1.079914                  463.000000           5.000000       
6.000000             0.215983                  463.000000           1.000000       
7.000000             40.469613                 724.000000           293.000000     
7.000000             8.839779                  724.000000           64.000000      
7.000000             8.287293                  724.000000           60.000000      
7.000000             7.458564                  724.000000           54.000000      
7.000000             7.458564                  724.000000           54.000000      
7.000000             6.353591                  724.000000           46.000000      
7.000000             5.939227                  724.000000           43.000000      
7.000000             4.696133                  724.000000           34.000000      
7.000000             4.281768                  724.000000           31.000000      
7.000000             2.209945                  724.000000           16.000000      
7.000000             2.071823                  724.000000           15.000000      
7.000000             0.828729                  724.000000           6.000000       
7.000000             0.276243                  724.000000           2.000000       
7.000000             0.276243                  724.000000           2.000000       
7.000000             0.138122                  724.000000           1.000000       
7.000000             0.138122                  724.000000           1.000000       
7.000000             0.138122                  724.000000           1.000000       
7.000000             0.138122                  724.000000           1.000000       
8.000000             44.007859                 509.000000           224.000000     
