Dataset Size: 15842                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             75.438356                 7300.000000          5507.000000    
1.000000             7.616438                  7300.000000          556.000000     
1.000000             4.794521                  7300.000000          350.000000     
1.000000             4.178082                  7300.000000          305.000000     
1.000000             2.136986                  7300.000000          156.000000     
1.000000             1.520548                  7300.000000          111.000000     
1.000000             1.438356                  7300.000000          105.000000     
1.000000             0.315068                  7300.000000          23.000000      
1.000000             0.178082                  7300.000000          13.000000      
1.000000             0.123288                  7300.000000          9.000000       
1.000000             0.123288                  7300.000000          9.000000       
1.000000             0.109589                  7300.000000          8.000000       
1.000000             0.095890                  7300.000000          7.000000       
1.000000             0.095890                  7300.000000          7.000000       
1.000000             0.095890                  7300.000000          7.000000       
1.000000             0.082192                  7300.000000          6.000000       
1.000000             0.054795                  7300.000000          4.000000       
1.000000             0.054795                  7300.000000          4.000000       
1.000000             0.054795                  7300.000000          4.000000       
1.000000             0.054795                  7300.000000          4.000000       
1.000000             0.054795                  7300.000000          4.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.041096                  7300.000000          3.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.027397                  7300.000000          2.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
1.000000             0.013699                  7300.000000          1.000000       
2.000000             52.097902                 2002.000000          1043.000000    
2.000000             14.585415                 2002.000000          292.000000     
2.000000             6.293706                  2002.000000          126.000000     
2.000000             4.695305                  2002.000000          94.000000      
2.000000             3.646354                  2002.000000          73.000000      
2.000000             2.547453                  2002.000000          51.000000      
2.000000             2.247752                  2002.000000          45.000000      
2.000000             1.748252                  2002.000000          35.000000      
2.000000             1.248751                  2002.000000          25.000000      
2.000000             1.148851                  2002.000000          23.000000      
2.000000             1.098901                  2002.000000          22.000000      
2.000000             0.599401                  2002.000000          12.000000      
2.000000             0.549451                  2002.000000          11.000000      
2.000000             0.449550                  2002.000000          9.000000       
2.000000             0.399600                  2002.000000          8.000000       
2.000000             0.399600                  2002.000000          8.000000       
2.000000             0.399600                  2002.000000          8.000000       
2.000000             0.399600                  2002.000000          8.000000       
2.000000             0.349650                  2002.000000          7.000000       
2.000000             0.349650                  2002.000000          7.000000       
2.000000             0.299700                  2002.000000          6.000000       
2.000000             0.249750                  2002.000000          5.000000       
2.000000             0.249750                  2002.000000          5.000000       
2.000000             0.249750                  2002.000000          5.000000       
2.000000             0.249750                  2002.000000          5.000000       
2.000000             0.199800                  2002.000000          4.000000       
2.000000             0.199800                  2002.000000          4.000000       
2.000000             0.149850                  2002.000000          3.000000       
2.000000             0.149850                  2002.000000          3.000000       
2.000000             0.149850                  2002.000000          3.000000       
2.000000             0.149850                  2002.000000          3.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.099900                  2002.000000          2.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
2.000000             0.049950                  2002.000000          1.000000       
