Dataset Size: 15851                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             96.596801                 13693.000000         13227.000000   
1.000000             1.993719                  13693.000000         273.000000     
1.000000             0.693785                  13693.000000         95.000000      
1.000000             0.387059                  13693.000000         53.000000      
1.000000             0.021909                  13693.000000         3.000000       
1.000000             0.021909                  13693.000000         3.000000       
1.000000             0.014606                  13693.000000         2.000000       
1.000000             0.014606                  13693.000000         2.000000       
1.000000             0.014606                  13693.000000         2.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
1.000000             0.007303                  13693.000000         1.000000       
2.000000             83.438395                 1745.000000          1456.000000    
2.000000             15.587393                 1745.000000          272.000000     
2.000000             0.114613                  1745.000000          2.000000       
2.000000             0.114613                  1745.000000          2.000000       
2.000000             0.114613                  1745.000000          2.000000       
2.000000             0.114613                  1745.000000          2.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
2.000000             0.057307                  1745.000000          1.000000       
3.000000             51.295337                 193.000000           99.000000      
3.000000             44.559585                 193.000000           86.000000      
3.000000             2.072539                  193.000000           4.000000       
3.000000             1.036269                  193.000000           2.000000       
3.000000             0.518135                  193.000000           1.000000       
3.000000             0.518135                  193.000000           1.000000       
4.000000             52.000000                 100.000000           52.000000      
4.000000             42.000000                 100.000000           42.000000      
4.000000             3.000000                  100.000000           3.000000       
4.000000             2.000000                  100.000000           2.000000       
4.000000             1.000000                  100.000000           1.000000       
5.000000             66.666667                 6.000000             4.000000       
5.000000             16.666667                 6.000000             1.000000       
5.000000             16.666667                 6.000000             1.000000       
6.000000             66.666667                 3.000000             2.000000       
6.000000             33.333333                 3.000000             1.000000       
7.000000             50.000000                 4.000000             2.000000       
7.000000             25.000000                 4.000000             1.000000       
7.000000             25.000000                 4.000000             1.000000       
8.000000             25.000000                 8.000000             2.000000       
8.000000             12.500000                 8.000000             1.000000       
8.000000             12.500000                 8.000000             1.000000       
8.000000             12.500000                 8.000000             1.000000       
8.000000             12.500000                 8.000000             1.000000       
8.000000             12.500000                 8.000000             1.000000       
8.000000             12.500000                 8.000000             1.000000       
9.000000             66.666667                 3.000000             2.000000       
9.000000             33.333333                 3.000000             1.000000       
10.000000            40.000000                 5.000000             2.000000       
10.000000            20.000000                 5.000000             1.000000       
10.000000            20.000000                 5.000000             1.000000       
10.000000            20.000000                 5.000000             1.000000       
11.000000            66.666667                 3.000000             2.000000       
11.000000            33.333333                 3.000000             1.000000       
12.000000            50.000000                 4.000000             2.000000       
12.000000            25.000000                 4.000000             1.000000       
12.000000            25.000000                 4.000000             1.000000       
13.000000            66.666667                 3.000000             2.000000       
13.000000            33.333333                 3.000000             1.000000       
14.000000            50.000000                 2.000000             1.000000       
14.000000            50.000000                 2.000000             1.000000       
15.000000            50.000000                 2.000000             1.000000       
15.000000            50.000000                 2.000000             1.000000       
16.000000            50.000000                 2.000000             1.000000       
16.000000            50.000000                 2.000000             1.000000       
17.000000            50.000000                 2.000000             1.000000       
17.000000            50.000000                 2.000000             1.000000       
18.000000            50.000000                 2.000000             1.000000       
18.000000            50.000000                 2.000000             1.000000       
19.000000            50.000000                 2.000000             1.000000       
19.000000            50.000000                 2.000000             1.000000       
20.000000            50.000000                 2.000000             1.000000       
20.000000            50.000000                 2.000000             1.000000       
21.000000            50.000000                 2.000000             1.000000       
21.000000            50.000000                 2.000000             1.000000       
22.000000            33.333333                 3.000000             1.000000       
22.000000            33.333333                 3.000000             1.000000       
22.000000            33.333333                 3.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                5.000000             5.000000       
0.000000             100.000000                3.000000             3.000000       
