Dataset Size: 15853                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             98.190864                 15477.000000         15197.000000   
1.000000             0.400594                  15477.000000         62.000000      
1.000000             0.174452                  15477.000000         27.000000      
1.000000             0.103379                  15477.000000         16.000000      
1.000000             0.090457                  15477.000000         14.000000      
1.000000             0.083996                  15477.000000         13.000000      
1.000000             0.077534                  15477.000000         12.000000      
1.000000             0.077534                  15477.000000         12.000000      
1.000000             0.064612                  15477.000000         10.000000      
1.000000             0.038767                  15477.000000         6.000000       
1.000000             0.032306                  15477.000000         5.000000       
1.000000             0.032306                  15477.000000         5.000000       
1.000000             0.032306                  15477.000000         5.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.025845                  15477.000000         4.000000       
1.000000             0.019384                  15477.000000         3.000000       
1.000000             0.019384                  15477.000000         3.000000       
1.000000             0.019384                  15477.000000         3.000000       
1.000000             0.019384                  15477.000000         3.000000       
1.000000             0.019384                  15477.000000         3.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.012922                  15477.000000         2.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
1.000000             0.006461                  15477.000000         1.000000       
2.000000             89.855072                 69.000000            62.000000      
2.000000             4.347826                  69.000000            3.000000       
2.000000             1.449275                  69.000000            1.000000       
2.000000             1.449275                  69.000000            1.000000       
2.000000             1.449275                  69.000000            1.000000       
2.000000             1.449275                  69.000000            1.000000       
3.000000             90.000000                 30.000000            27.000000      
3.000000             3.333333                  30.000000            1.000000       
3.000000             3.333333                  30.000000            1.000000       
3.000000             3.333333                  30.000000            1.000000       
4.000000             89.473684                 19.000000            17.000000      
4.000000             5.263158                  19.000000            1.000000       
4.000000             5.263158                  19.000000            1.000000       
5.000000             86.666667                 15.000000            13.000000      
5.000000             6.666667                  15.000000            1.000000       
5.000000             6.666667                  15.000000            1.000000       
6.000000             85.714286                 14.000000            12.000000      
6.000000             14.285714                 14.000000            2.000000       
7.000000             75.000000                 16.000000            12.000000      
7.000000             6.250000                  16.000000            1.000000       
7.000000             6.250000                  16.000000            1.000000       
7.000000             6.250000                  16.000000            1.000000       
