Dataset Size: 15858                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             73.644501                 7820.000000          5759.000000    
1.000000             4.859335                  7820.000000          380.000000     
1.000000             4.565217                  7820.000000          357.000000     
1.000000             4.104859                  7820.000000          321.000000     
1.000000             3.414322                  7820.000000          267.000000     
1.000000             2.519182                  7820.000000          197.000000     
1.000000             1.125320                  7820.000000          88.000000      
1.000000             0.997442                  7820.000000          78.000000      
1.000000             0.652174                  7820.000000          51.000000      
1.000000             0.549872                  7820.000000          43.000000      
1.000000             0.332481                  7820.000000          26.000000      
1.000000             0.332481                  7820.000000          26.000000      
1.000000             0.179028                  7820.000000          14.000000      
1.000000             0.166240                  7820.000000          13.000000      
1.000000             0.166240                  7820.000000          13.000000      
1.000000             0.153453                  7820.000000          12.000000      
1.000000             0.140665                  7820.000000          11.000000      
1.000000             0.140665                  7820.000000          11.000000      
1.000000             0.115090                  7820.000000          9.000000       
1.000000             0.102302                  7820.000000          8.000000       
1.000000             0.089514                  7820.000000          7.000000       
1.000000             0.089514                  7820.000000          7.000000       
1.000000             0.076726                  7820.000000          6.000000       
1.000000             0.076726                  7820.000000          6.000000       
1.000000             0.076726                  7820.000000          6.000000       
1.000000             0.076726                  7820.000000          6.000000       
1.000000             0.063939                  7820.000000          5.000000       
1.000000             0.063939                  7820.000000          5.000000       
1.000000             0.051151                  7820.000000          4.000000       
1.000000             0.051151                  7820.000000          4.000000       
1.000000             0.038363                  7820.000000          3.000000       
1.000000             0.038363                  7820.000000          3.000000       
1.000000             0.038363                  7820.000000          3.000000       
1.000000             0.038363                  7820.000000          3.000000       
1.000000             0.038363                  7820.000000          3.000000       
1.000000             0.038363                  7820.000000          3.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.025575                  7820.000000          2.000000       
1.000000             0.012788                  7820.000000          1.000000       
1.000000             0.012788                  7820.000000          1.000000       
1.000000             0.012788                  7820.000000          1.000000       
1.000000             0.012788                  7820.000000          1.000000       
