Dataset Size: 15866                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             98.992872                 15291.000000         15137.000000   
1.000000             0.143875                  15291.000000         22.000000      
1.000000             0.137336                  15291.000000         21.000000      
1.000000             0.045779                  15291.000000         7.000000       
1.000000             0.026159                  15291.000000         4.000000       
1.000000             0.019619                  15291.000000         3.000000       
1.000000             0.019619                  15291.000000         3.000000       
1.000000             0.013080                  15291.000000         2.000000       
1.000000             0.013080                  15291.000000         2.000000       
1.000000             0.013080                  15291.000000         2.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
1.000000             0.006540                  15291.000000         1.000000       
2.000000             70.588235                 34.000000            24.000000      
2.000000             17.647059                 34.000000            6.000000       
2.000000             5.882353                  34.000000            2.000000       
2.000000             2.941176                  34.000000            1.000000       
2.000000             2.941176                  34.000000            1.000000       
3.000000             57.500000                 40.000000            23.000000      
3.000000             25.000000                 40.000000            10.000000      
3.000000             5.000000                  40.000000            2.000000       
3.000000             2.500000                  40.000000            1.000000       
3.000000             2.500000                  40.000000            1.000000       
3.000000             2.500000                  40.000000            1.000000       
3.000000             2.500000                  40.000000            1.000000       
3.000000             2.500000                  40.000000            1.000000       
4.000000             58.823529                 17.000000            10.000000      
4.000000             35.294118                 17.000000            6.000000       
4.000000             5.882353                  17.000000            1.000000       
5.000000             55.555556                 9.000000             5.000000       
5.000000             11.111111                 9.000000             1.000000       
5.000000             11.111111                 9.000000             1.000000       
5.000000             11.111111                 9.000000             1.000000       
5.000000             11.111111                 9.000000             1.000000       
6.000000             60.000000                 5.000000             3.000000       
6.000000             20.000000                 5.000000             1.000000       
6.000000             20.000000                 5.000000             1.000000       
7.000000             66.666667                 3.000000             2.000000       
7.000000             33.333333                 3.000000             1.000000       
8.000000             66.666667                 3.000000             2.000000       
8.000000             33.333333                 3.000000             1.000000       
