Dataset Size: 15893                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             90.335913                 13307.000000         12021.000000   
1.000000             1.630721                  13307.000000         217.000000     
1.000000             0.804088                  13307.000000         107.000000     
1.000000             0.586158                  13307.000000         78.000000      
1.000000             0.541069                  13307.000000         72.000000      
1.000000             0.428346                  13307.000000         57.000000      
1.000000             0.323138                  13307.000000         43.000000      
1.000000             0.293079                  13307.000000         39.000000      
1.000000             0.278049                  13307.000000         37.000000      
1.000000             0.263019                  13307.000000         35.000000      
1.000000             0.180356                  13307.000000         24.000000      
1.000000             0.172841                  13307.000000         23.000000      
1.000000             0.172841                  13307.000000         23.000000      
1.000000             0.157812                  13307.000000         21.000000      
1.000000             0.150297                  13307.000000         20.000000      
1.000000             0.142782                  13307.000000         19.000000      
1.000000             0.135267                  13307.000000         18.000000      
1.000000             0.127752                  13307.000000         17.000000      
1.000000             0.127752                  13307.000000         17.000000      
1.000000             0.097693                  13307.000000         13.000000      
1.000000             0.097693                  13307.000000         13.000000      
1.000000             0.097693                  13307.000000         13.000000      
1.000000             0.090178                  13307.000000         12.000000      
1.000000             0.082663                  13307.000000         11.000000      
1.000000             0.082663                  13307.000000         11.000000      
1.000000             0.075148                  13307.000000         10.000000      
1.000000             0.075148                  13307.000000         10.000000      
1.000000             0.075148                  13307.000000         10.000000      
1.000000             0.067634                  13307.000000         9.000000       
1.000000             0.067634                  13307.000000         9.000000       
1.000000             0.067634                  13307.000000         9.000000       
1.000000             0.067634                  13307.000000         9.000000       
1.000000             0.067634                  13307.000000         9.000000       
1.000000             0.067634                  13307.000000         9.000000       
1.000000             0.060119                  13307.000000         8.000000       
1.000000             0.052604                  13307.000000         7.000000       
1.000000             0.045089                  13307.000000         6.000000       
1.000000             0.045089                  13307.000000         6.000000       
1.000000             0.045089                  13307.000000         6.000000       
1.000000             0.045089                  13307.000000         6.000000       
1.000000             0.045089                  13307.000000         6.000000       
1.000000             0.045089                  13307.000000         6.000000       
1.000000             0.037574                  13307.000000         5.000000       
1.000000             0.037574                  13307.000000         5.000000       
1.000000             0.037574                  13307.000000         5.000000       
1.000000             0.030059                  13307.000000         4.000000       
1.000000             0.030059                  13307.000000         4.000000       
1.000000             0.030059                  13307.000000         4.000000       
1.000000             0.030059                  13307.000000         4.000000       
1.000000             0.030059                  13307.000000         4.000000       
1.000000             0.030059                  13307.000000         4.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.022545                  13307.000000         3.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.015030                  13307.000000         2.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
1.000000             0.007515                  13307.000000         1.000000       
