Dataset Size: 15902                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             99.515121                 15674.000000         15598.000000   
1.000000             0.051040                  15674.000000         8.000000       
1.000000             0.044660                  15674.000000         7.000000       
1.000000             0.031900                  15674.000000         5.000000       
1.000000             0.025520                  15674.000000         4.000000       
1.000000             0.019140                  15674.000000         3.000000       
1.000000             0.019140                  15674.000000         3.000000       
1.000000             0.012760                  15674.000000         2.000000       
1.000000             0.012760                  15674.000000         2.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
1.000000             0.006380                  15674.000000         1.000000       
2.000000             78.947368                 38.000000            30.000000      
2.000000             18.421053                 38.000000            7.000000       
2.000000             2.631579                  38.000000            1.000000       
3.000000             64.285714                 14.000000            9.000000       
3.000000             14.285714                 14.000000            2.000000       
3.000000             7.142857                  14.000000            1.000000       
3.000000             7.142857                  14.000000            1.000000       
3.000000             7.142857                  14.000000            1.000000       
4.000000             42.105263                 19.000000            8.000000       
4.000000             31.578947                 19.000000            6.000000       
4.000000             5.263158                  19.000000            1.000000       
4.000000             5.263158                  19.000000            1.000000       
4.000000             5.263158                  19.000000            1.000000       
4.000000             5.263158                  19.000000            1.000000       
4.000000             5.263158                  19.000000            1.000000       
5.000000             66.666667                 9.000000             6.000000       
5.000000             11.111111                 9.000000             1.000000       
5.000000             11.111111                 9.000000             1.000000       
5.000000             11.111111                 9.000000             1.000000       
6.000000             42.857143                 14.000000            6.000000       
6.000000             28.571429                 14.000000            4.000000       
6.000000             14.285714                 14.000000            2.000000       
6.000000             14.285714                 14.000000            2.000000       
7.000000             40.000000                 10.000000            4.000000       
7.000000             20.000000                 10.000000            2.000000       
7.000000             20.000000                 10.000000            2.000000       
7.000000             10.000000                 10.000000            1.000000       
7.000000             10.000000                 10.000000            1.000000       
8.000000             75.000000                 4.000000             3.000000       
8.000000             25.000000                 4.000000             1.000000       
9.000000             75.000000                 4.000000             3.000000       
9.000000             25.000000                 4.000000             1.000000       
10.000000            50.000000                 4.000000             2.000000       
10.000000            25.000000                 4.000000             1.000000       
10.000000            25.000000                 4.000000             1.000000       
11.000000            66.666667                 3.000000             2.000000       
11.000000            33.333333                 3.000000             1.000000       
12.000000            50.000000                 2.000000             1.000000       
12.000000            50.000000                 2.000000             1.000000       
13.000000            50.000000                 2.000000             1.000000       
13.000000            50.000000                 2.000000             1.000000       
14.000000            50.000000                 2.000000             1.000000       
14.000000            50.000000                 2.000000             1.000000       
15.000000            50.000000                 2.000000             1.000000       
15.000000            50.000000                 2.000000             1.000000       
16.000000            50.000000                 2.000000             1.000000       
16.000000            50.000000                 2.000000             1.000000       
17.000000            50.000000                 2.000000             1.000000       
17.000000            50.000000                 2.000000             1.000000       
18.000000            50.000000                 2.000000             1.000000       
18.000000            50.000000                 2.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                3.000000             3.000000       
0.000000             100.000000                3.000000             3.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                2.000000             2.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
