Dataset Size: 15902                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             93.568538                 14087.000000         13181.000000   
1.000000             1.746291                  14087.000000         246.000000     
1.000000             1.710797                  14087.000000         241.000000     
1.000000             0.851849                  14087.000000         120.000000     
1.000000             0.631788                  14087.000000         89.000000      
1.000000             0.447221                  14087.000000         63.000000      
1.000000             0.440122                  14087.000000         62.000000      
1.000000             0.106481                  14087.000000         15.000000      
1.000000             0.099382                  14087.000000         14.000000      
1.000000             0.042592                  14087.000000         6.000000       
1.000000             0.021296                  14087.000000         3.000000       
1.000000             0.021296                  14087.000000         3.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.014197                  14087.000000         2.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
1.000000             0.007099                  14087.000000         1.000000       
2.000000             51.470588                 476.000000           245.000000     
2.000000             22.058824                 476.000000           105.000000     
2.000000             10.294118                 476.000000           49.000000      
2.000000             6.302521                  476.000000           30.000000      
2.000000             1.260504                  476.000000           6.000000       
2.000000             1.260504                  476.000000           6.000000       
2.000000             0.840336                  476.000000           4.000000       
2.000000             0.840336                  476.000000           4.000000       
2.000000             0.630252                  476.000000           3.000000       
2.000000             0.630252                  476.000000           3.000000       
2.000000             0.420168                  476.000000           2.000000       
2.000000             0.420168                  476.000000           2.000000       
2.000000             0.420168                  476.000000           2.000000       
2.000000             0.420168                  476.000000           2.000000       
2.000000             0.420168                  476.000000           2.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
2.000000             0.210084                  476.000000           1.000000       
3.000000             60.101010                 396.000000           238.000000     
3.000000             16.666667                 396.000000           66.000000      
3.000000             14.898990                 396.000000           59.000000      
3.000000             2.020202                  396.000000           8.000000       
3.000000             1.262626                  396.000000           5.000000       
3.000000             0.757576                  396.000000           3.000000       
