Dataset Size: 18050                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             47.747329                 2153.000000          1028.000000    
1.000000             13.887599                 2153.000000          299.000000     
1.000000             11.100790                 2153.000000          239.000000     
1.000000             3.808639                  2153.000000          82.000000      
1.000000             2.879703                  2153.000000          62.000000      
1.000000             2.090107                  2153.000000          45.000000      
1.000000             1.904320                  2153.000000          41.000000      
1.000000             1.718532                  2153.000000          37.000000      
1.000000             1.346958                  2153.000000          29.000000      
1.000000             1.300511                  2153.000000          28.000000      
1.000000             1.207617                  2153.000000          26.000000      
1.000000             1.161170                  2153.000000          25.000000      
1.000000             1.114724                  2153.000000          24.000000      
1.000000             1.068277                  2153.000000          23.000000      
1.000000             0.882490                  2153.000000          19.000000      
1.000000             0.836043                  2153.000000          18.000000      
1.000000             0.650255                  2153.000000          14.000000      
1.000000             0.650255                  2153.000000          14.000000      
1.000000             0.603809                  2153.000000          13.000000      
1.000000             0.557362                  2153.000000          12.000000      
1.000000             0.464468                  2153.000000          10.000000      
1.000000             0.371575                  2153.000000          8.000000       
1.000000             0.371575                  2153.000000          8.000000       
1.000000             0.232234                  2153.000000          5.000000       
1.000000             0.232234                  2153.000000          5.000000       
1.000000             0.185787                  2153.000000          4.000000       
1.000000             0.139340                  2153.000000          3.000000       
1.000000             0.139340                  2153.000000          3.000000       
1.000000             0.092894                  2153.000000          2.000000       
1.000000             0.092894                  2153.000000          2.000000       
1.000000             0.092894                  2153.000000          2.000000       
1.000000             0.092894                  2153.000000          2.000000       
1.000000             0.092894                  2153.000000          2.000000       
1.000000             0.092894                  2153.000000          2.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
1.000000             0.046447                  2153.000000          1.000000       
2.000000             47.687564                 1946.000000          928.000000     
2.000000             10.020555                 1946.000000          195.000000     
2.000000             5.909558                  1946.000000          115.000000     
2.000000             5.549846                  1946.000000          108.000000     
2.000000             3.648510                  1946.000000          71.000000      
2.000000             2.929085                  1946.000000          57.000000      
2.000000             2.466598                  1946.000000          48.000000      
2.000000             1.798561                  1946.000000          35.000000      
2.000000             1.798561                  1946.000000          35.000000      
2.000000             1.644399                  1946.000000          32.000000      
2.000000             1.079137                  1946.000000          21.000000      
2.000000             1.027749                  1946.000000          20.000000      
2.000000             0.976362                  1946.000000          19.000000      
2.000000             0.822199                  1946.000000          16.000000      
2.000000             0.822199                  1946.000000          16.000000      
2.000000             0.822199                  1946.000000          16.000000      
2.000000             0.616650                  1946.000000          12.000000      
2.000000             0.616650                  1946.000000          12.000000      
2.000000             0.565262                  1946.000000          11.000000      
2.000000             0.565262                  1946.000000          11.000000      
2.000000             0.513875                  1946.000000          10.000000      
2.000000             0.462487                  1946.000000          9.000000       
2.000000             0.462487                  1946.000000          9.000000       
2.000000             0.411100                  1946.000000          8.000000       
2.000000             0.359712                  1946.000000          7.000000       
2.000000             0.359712                  1946.000000          7.000000       
2.000000             0.359712                  1946.000000          7.000000       
2.000000             0.359712                  1946.000000          7.000000       
2.000000             0.359712                  1946.000000          7.000000       
2.000000             0.308325                  1946.000000          6.000000       
2.000000             0.308325                  1946.000000          6.000000       
2.000000             0.308325                  1946.000000          6.000000       
2.000000             0.308325                  1946.000000          6.000000       
2.000000             0.256937                  1946.000000          5.000000       
2.000000             0.256937                  1946.000000          5.000000       
2.000000             0.256937                  1946.000000          5.000000       
2.000000             0.256937                  1946.000000          5.000000       
2.000000             0.205550                  1946.000000          4.000000       
2.000000             0.205550                  1946.000000          4.000000       
2.000000             0.154162                  1946.000000          3.000000       
2.000000             0.154162                  1946.000000          3.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.102775                  1946.000000          2.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
2.000000             0.051387                  1946.000000          1.000000       
3.000000             46.329255                 1798.000000          833.000000     
3.000000             8.787542                  1798.000000          158.000000     
3.000000             7.341491                  1798.000000          132.000000     
3.000000             4.727475                  1798.000000          85.000000      
