Dataset Size: 22695                         
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             60.192102                 937.000000           564.000000     
1.000000             7.257204                  937.000000           68.000000      
1.000000             2.774813                  937.000000           26.000000      
1.000000             2.668090                  937.000000           25.000000      
1.000000             2.241195                  937.000000           21.000000      
1.000000             1.707577                  937.000000           16.000000      
1.000000             1.600854                  937.000000           15.000000      
1.000000             1.600854                  937.000000           15.000000      
1.000000             1.600854                  937.000000           15.000000      
1.000000             1.494130                  937.000000           14.000000      
1.000000             1.494130                  937.000000           14.000000      
1.000000             1.494130                  937.000000           14.000000      
1.000000             1.280683                  937.000000           12.000000      
1.000000             1.173959                  937.000000           11.000000      
1.000000             0.960512                  937.000000           9.000000       
1.000000             0.960512                  937.000000           9.000000       
1.000000             0.747065                  937.000000           7.000000       
1.000000             0.747065                  937.000000           7.000000       
1.000000             0.747065                  937.000000           7.000000       
1.000000             0.640342                  937.000000           6.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.533618                  937.000000           5.000000       
1.000000             0.426894                  937.000000           4.000000       
1.000000             0.426894                  937.000000           4.000000       
1.000000             0.320171                  937.000000           3.000000       
1.000000             0.320171                  937.000000           3.000000       
1.000000             0.320171                  937.000000           3.000000       
1.000000             0.213447                  937.000000           2.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
1.000000             0.106724                  937.000000           1.000000       
2.000000             48.546512                 688.000000           334.000000     
2.000000             9.447674                  688.000000           65.000000      
2.000000             6.540698                  688.000000           45.000000      
2.000000             5.668605                  688.000000           39.000000      
2.000000             4.941860                  688.000000           34.000000      
