Dataset Size: 1643                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             42.081448                 442.000000           186.000000     
1.000000             15.837104                 442.000000           70.000000      
1.000000             13.122172                 442.000000           58.000000      
1.000000             10.407240                 442.000000           46.000000      
1.000000             9.502262                  442.000000           42.000000      
1.000000             5.656109                  442.000000           25.000000      
1.000000             2.488688                  442.000000           11.000000      
1.000000             0.452489                  442.000000           2.000000       
1.000000             0.226244                  442.000000           1.000000       
1.000000             0.226244                  442.000000           1.000000       
2.000000             37.549407                 253.000000           95.000000      
2.000000             19.367589                 253.000000           49.000000      
2.000000             9.881423                  253.000000           25.000000      
2.000000             7.114625                  253.000000           18.000000      
2.000000             5.533597                  253.000000           14.000000      
2.000000             5.138340                  253.000000           13.000000      
2.000000             4.743083                  253.000000           12.000000      
2.000000             3.952569                  253.000000           10.000000      
2.000000             3.557312                  253.000000           9.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
2.000000             0.395257                  253.000000           1.000000       
3.000000             94.117647                 85.000000            80.000000      
3.000000             4.705882                  85.000000            4.000000       
3.000000             1.176471                  85.000000            1.000000       
4.000000             84.210526                 76.000000            64.000000      
4.000000             15.789474                 76.000000            12.000000      
5.000000             74.074074                 81.000000            60.000000      
5.000000             16.049383                 81.000000            13.000000      
5.000000             3.703704                  81.000000            3.000000       
5.000000             2.469136                  81.000000            2.000000       
5.000000             2.469136                  81.000000            2.000000       
5.000000             1.234568                  81.000000            1.000000       
6.000000             26.027397                 219.000000           57.000000      
6.000000             24.200913                 219.000000           53.000000      
6.000000             21.917808                 219.000000           48.000000      
6.000000             10.502283                 219.000000           23.000000      
6.000000             5.022831                  219.000000           11.000000      
6.000000             5.022831                  219.000000           11.000000      
6.000000             4.109589                  219.000000           9.000000       
6.000000             0.913242                  219.000000           2.000000       
6.000000             0.456621                  219.000000           1.000000       
6.000000             0.456621                  219.000000           1.000000       
6.000000             0.456621                  219.000000           1.000000       
6.000000             0.456621                  219.000000           1.000000       
6.000000             0.456621                  219.000000           1.000000       
7.000000             49.557522                 113.000000           56.000000      
7.000000             42.477876                 113.000000           48.000000      
7.000000             5.309735                  113.000000           6.000000       
7.000000             0.884956                  113.000000           1.000000       
7.000000             0.884956                  113.000000           1.000000       
7.000000             0.884956                  113.000000           1.000000       
8.000000             92.156863                 51.000000            47.000000      
8.000000             5.882353                  51.000000            3.000000       
8.000000             1.960784                  51.000000            1.000000       
9.000000             31.818182                 110.000000           35.000000      
9.000000             19.090909                 110.000000           21.000000      
9.000000             13.636364                 110.000000           15.000000      
9.000000             11.818182                 110.000000           13.000000      
9.000000             6.363636                  110.000000           7.000000       
9.000000             5.454545                  110.000000           6.000000       
9.000000             4.545455                  110.000000           5.000000       
9.000000             3.636364                  110.000000           4.000000       
9.000000             0.909091                  110.000000           1.000000       
9.000000             0.909091                  110.000000           1.000000       
9.000000             0.909091                  110.000000           1.000000       
9.000000             0.909091                  110.000000           1.000000       
10.000000            95.652174                 23.000000            22.000000      
10.000000            4.347826                  23.000000            1.000000       
11.000000            36.734694                 49.000000            18.000000      
11.000000            32.653061                 49.000000            16.000000      
11.000000            18.367347                 49.000000            9.000000       
11.000000            10.204082                 49.000000            5.000000       
11.000000            2.040816                  49.000000            1.000000       
12.000000            35.483871                 31.000000            11.000000      
12.000000            35.483871                 31.000000            11.000000      
12.000000            12.903226                 31.000000            4.000000       
12.000000            9.677419                  31.000000            3.000000       
12.000000            6.451613                  31.000000            2.000000       
13.000000            61.538462                 13.000000            8.000000       
13.000000            38.461538                 13.000000            5.000000       
14.000000            88.888889                 9.000000             8.000000       
14.000000            11.111111                 9.000000             1.000000       
15.000000            50.000000                 2.000000             1.000000       
15.000000            50.000000                 2.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                27.000000            27.000000      
0.000000             100.000000                18.000000            18.000000      
0.000000             100.000000                13.000000            13.000000      
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
