Dataset Size: 1643                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             56.198347                 605.000000           340.000000     
1.000000             22.975207                 605.000000           139.000000     
1.000000             9.917355                  605.000000           60.000000      
1.000000             4.462810                  605.000000           27.000000      
1.000000             3.140496                  605.000000           19.000000      
1.000000             1.818182                  605.000000           11.000000      
1.000000             0.330579                  605.000000           2.000000       
1.000000             0.165289                  605.000000           1.000000       
1.000000             0.165289                  605.000000           1.000000       
1.000000             0.165289                  605.000000           1.000000       
1.000000             0.165289                  605.000000           1.000000       
1.000000             0.165289                  605.000000           1.000000       
1.000000             0.165289                  605.000000           1.000000       
1.000000             0.165289                  605.000000           1.000000       
2.000000             47.738693                 398.000000           190.000000     
2.000000             21.859296                 398.000000           87.000000      
2.000000             16.080402                 398.000000           64.000000      
2.000000             7.788945                  398.000000           31.000000      
2.000000             1.256281                  398.000000           5.000000       
2.000000             1.256281                  398.000000           5.000000       
2.000000             1.005025                  398.000000           4.000000       
2.000000             0.502513                  398.000000           2.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
2.000000             0.251256                  398.000000           1.000000       
3.000000             28.965517                 290.000000           84.000000      
3.000000             26.551724                 290.000000           77.000000      
3.000000             14.482759                 290.000000           42.000000      
3.000000             11.034483                 290.000000           32.000000      
3.000000             7.586207                  290.000000           22.000000      
3.000000             6.206897                  290.000000           18.000000      
3.000000             1.379310                  290.000000           4.000000       
3.000000             1.034483                  290.000000           3.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
3.000000             0.344828                  290.000000           1.000000       
4.000000             75.675676                 74.000000            56.000000      
4.000000             21.621622                 74.000000            16.000000      
4.000000             2.702703                  74.000000            2.000000       
5.000000             42.857143                 98.000000            42.000000      
5.000000             31.632653                 98.000000            31.000000      
5.000000             25.510204                 98.000000            25.000000      
6.000000             52.000000                 75.000000            39.000000      
6.000000             46.666667                 75.000000            35.000000      
6.000000             1.333333                  75.000000            1.000000       
7.000000             33.898305                 59.000000            20.000000      
7.000000             20.338983                 59.000000            12.000000      
7.000000             18.644068                 59.000000            11.000000      
7.000000             15.254237                 59.000000            9.000000       
7.000000             5.084746                  59.000000            3.000000       
7.000000             1.694915                  59.000000            1.000000       
7.000000             1.694915                  59.000000            1.000000       
7.000000             1.694915                  59.000000            1.000000       
7.000000             1.694915                  59.000000            1.000000       
8.000000             50.000000                 6.000000             3.000000       
8.000000             16.666667                 6.000000             1.000000       
8.000000             16.666667                 6.000000             1.000000       
8.000000             16.666667                 6.000000             1.000000       
9.000000             40.000000                 5.000000             2.000000       
9.000000             20.000000                 5.000000             1.000000       
9.000000             20.000000                 5.000000             1.000000       
9.000000             20.000000                 5.000000             1.000000       
10.000000            50.000000                 2.000000             1.000000       
10.000000            50.000000                 2.000000             1.000000       
11.000000            50.000000                 2.000000             1.000000       
11.000000            50.000000                 2.000000             1.000000       
12.000000            50.000000                 2.000000             1.000000       
12.000000            50.000000                 2.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
0.000000             100.000000                1.000000             1.000000       
