Dataset Size: 1882                          
Initial Event        Percentage of A->X        Frequency of A       Frequency of A->X
1.000000             85.823755                 522.000000           448.000000     
1.000000             4.789272                  522.000000           25.000000      
1.000000             0.957854                  522.000000           5.000000       
1.000000             0.766284                  522.000000           4.000000       
1.000000             0.766284                  522.000000           4.000000       
1.000000             0.766284                  522.000000           4.000000       
1.000000             0.766284                  522.000000           4.000000       
1.000000             0.766284                  522.000000           4.000000       
1.000000             0.574713                  522.000000           3.000000       
1.000000             0.574713                  522.000000           3.000000       
1.000000             0.574713                  522.000000           3.000000       
1.000000             0.574713                  522.000000           3.000000       
1.000000             0.383142                  522.000000           2.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
1.000000             0.191571                  522.000000           1.000000       
2.000000             66.863905                 338.000000           226.000000     
2.000000             6.508876                  338.000000           22.000000      
2.000000             3.550296                  338.000000           12.000000      
2.000000             2.366864                  338.000000           8.000000       
2.000000             2.366864                  338.000000           8.000000       
2.000000             2.071006                  338.000000           7.000000       
2.000000             1.479290                  338.000000           5.000000       
2.000000             1.479290                  338.000000           5.000000       
2.000000             1.183432                  338.000000           4.000000       
2.000000             1.183432                  338.000000           4.000000       
2.000000             0.887574                  338.000000           3.000000       
2.000000             0.887574                  338.000000           3.000000       
2.000000             0.887574                  338.000000           3.000000       
2.000000             0.887574                  338.000000           3.000000       
2.000000             0.591716                  338.000000           2.000000       
2.000000             0.591716                  338.000000           2.000000       
2.000000             0.591716                  338.000000           2.000000       
2.000000             0.591716                  338.000000           2.000000       
2.000000             0.591716                  338.000000           2.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
2.000000             0.295858                  338.000000           1.000000       
3.000000             86.776860                 121.000000           105.000000     
3.000000             3.305785                  121.000000           4.000000       
3.000000             3.305785                  121.000000           4.000000       
3.000000             2.479339                  121.000000           3.000000       
3.000000             2.479339                  121.000000           3.000000       
3.000000             1.652893                  121.000000           2.000000       
4.000000             85.074627                 67.000000            57.000000      
4.000000             5.970149                  67.000000            4.000000       
4.000000             2.985075                  67.000000            2.000000       
4.000000             1.492537                  67.000000            1.000000       
4.000000             1.492537                  67.000000            1.000000       
4.000000             1.492537                  67.000000            1.000000       
4.000000             1.492537                  67.000000            1.000000       
5.000000             89.090909                 55.000000            49.000000      
5.000000             5.454545                  55.000000            3.000000       
5.000000             1.818182                  55.000000            1.000000       
5.000000             1.818182                  55.000000            1.000000       
5.000000             1.818182                  55.000000            1.000000       
6.000000             50.526316                 95.000000            48.000000      
6.000000             8.421053                  95.000000            8.000000       
6.000000             8.421053                  95.000000            8.000000       
6.000000             7.368421                  95.000000            7.000000       
6.000000             4.210526                  95.000000            4.000000       
6.000000             3.157895                  95.000000            3.000000       
6.000000             3.157895                  95.000000            3.000000       
6.000000             3.157895                  95.000000            3.000000       
6.000000             2.105263                  95.000000            2.000000       
6.000000             2.105263                  95.000000            2.000000       
6.000000             2.105263                  95.000000            2.000000       
6.000000             1.052632                  95.000000            1.000000       
6.000000             1.052632                  95.000000            1.000000       
6.000000             1.052632                  95.000000            1.000000       
6.000000             1.052632                  95.000000            1.000000       
6.000000             1.052632                  95.000000            1.000000       
7.000000             84.090909                 44.000000            37.000000      
7.000000             9.090909                  44.000000            4.000000       
7.000000             6.818182                  44.000000            3.000000       
8.000000             87.500000                 40.000000            35.000000      
8.000000             7.500000                  40.000000            3.000000       
8.000000             2.500000                  40.000000            1.000000       
8.000000             2.500000                  40.000000            1.000000       
9.000000             87.500000                 40.000000            35.000000      
9.000000             10.000000                 40.000000            4.000000       
9.000000             2.500000                  40.000000            1.000000       
10.000000            91.666667                 36.000000            33.000000      
10.000000            8.333333                  36.000000            3.000000       
11.000000            60.377358                 53.000000            32.000000      
11.000000            18.867925                 53.000000            10.000000      
11.000000            11.320755                 53.000000            6.000000       
11.000000            3.773585                  53.000000            2.000000       
11.000000            3.773585                  53.000000            2.000000       
11.000000            1.886792                  53.000000            1.000000       
12.000000            64.000000                 50.000000            32.000000      
12.000000            12.000000                 50.000000            6.000000       
12.000000            8.000000                  50.000000            4.000000       
12.000000            8.000000                  50.000000            4.000000       
12.000000            4.000000                  50.000000            2.000000       
12.000000            4.000000                  50.000000            2.000000       
13.000000            44.067797                 59.000000            26.000000      
13.000000            11.864407                 59.000000            7.000000       
13.000000            8.474576                  59.000000            5.000000       
13.000000            6.779661                  59.000000            4.000000       
13.000000            6.779661                  59.000000            4.000000       
13.000000            3.389831                  59.000000            2.000000       
13.000000            3.389831                  59.000000            2.000000       
13.000000            3.389831                  59.000000            2.000000       
13.000000            1.694915                  59.000000            1.000000       
13.000000            1.694915                  59.000000            1.000000       
13.000000            1.694915                  59.000000            1.000000       
13.000000            1.694915                  59.000000            1.000000       
13.000000            1.694915                  59.000000            1.000000       
13.000000            1.694915                  59.000000            1.000000       
13.000000            1.694915                  59.000000            1.000000       
14.000000            52.380952                 42.000000            22.000000      
14.000000            21.428571                 42.000000            9.000000       
14.000000            9.523810                  42.000000            4.000000       
14.000000            4.761905                  42.000000            2.000000       
14.000000            4.761905                  42.000000            2.000000       
14.000000            2.380952                  42.000000            1.000000       
14.000000            2.380952                  42.000000            1.000000       
14.000000            2.380952                  42.000000            1.000000       
15.000000            58.064516                 31.000000            18.000000      
15.000000            19.354839                 31.000000            6.000000       
15.000000            6.451613                  31.000000            2.000000       
15.000000            3.225806                  31.000000            1.000000       
15.000000            3.225806                  31.000000            1.000000       
15.000000            3.225806                  31.000000            1.000000       
15.000000            3.225806                  31.000000            1.000000       
15.000000            3.225806                  31.000000            1.000000       
16.000000            75.000000                 20.000000            15.000000      
16.000000            15.000000                 20.000000            3.000000       
16.000000            5.000000                  20.000000            1.000000       
16.000000            5.000000                  20.000000            1.000000       
17.000000            51.851852                 27.000000            14.000000      
17.000000            22.222222                 27.000000            6.000000       
17.000000            11.111111                 27.000000            3.000000       
17.000000            11.111111                 27.000000            3.000000       
17.000000            3.703704                  27.000000            1.000000       
18.000000            43.333333                 30.000000            13.000000      
18.000000            26.666667                 30.000000            8.000000       
18.000000            20.000000                 30.000000            6.000000       
18.000000            3.333333                  30.000000            1.000000       
18.000000            3.333333                  30.000000            1.000000       
18.000000            3.333333                  30.000000            1.000000       
19.000000            43.333333                 30.000000            13.000000      
19.000000            36.666667                 30.000000            11.000000      
19.000000            10.000000                 30.000000            3.000000       
19.000000            6.666667                  30.000000            2.000000       
19.000000            3.333333                  30.000000            1.000000       
20.000000            39.130435                 23.000000            9.000000       
20.000000            21.739130                 23.000000            5.000000       
20.000000            17.391304                 23.000000            4.000000       
20.000000            13.043478                 23.000000            3.000000       
20.000000            4.347826                  23.000000            1.000000       
20.000000            4.347826                  23.000000            1.000000       
21.000000            80.000000                 10.000000            8.000000       
21.000000            10.000000                 10.000000            1.000000       
21.000000            10.000000                 10.000000            1.000000       
22.000000            58.333333                 12.000000            7.000000       
22.000000            25.000000                 12.000000            3.000000       
22.000000            8.333333                  12.000000            1.000000       
22.000000            8.333333                  12.000000            1.000000       
23.000000            53.846154                 13.000000            7.000000       
23.000000            30.769231                 13.000000            4.000000       
23.000000            7.692308                  13.000000            1.000000       
23.000000            7.692308                  13.000000            1.000000       
24.000000            35.714286                 14.000000            5.000000       
24.000000            35.714286                 14.000000            5.000000       
24.000000            7.142857                  14.000000            1.000000       
24.000000            7.142857                  14.000000            1.000000       
24.000000            7.142857                  14.000000            1.000000       
24.000000            7.142857                  14.000000            1.000000       
25.000000            45.454545                 11.000000            5.000000       
25.000000            18.181818                 11.000000            2.000000       
25.000000            18.181818                 11.000000            2.000000       
25.000000            9.090909                  11.000000            1.000000       
25.000000            9.090909                  11.000000            1.000000       
26.000000            83.333333                 6.000000             5.000000       
26.000000            16.666667                 6.000000             1.000000       
